YSAMP_N,WATER,SITE_N,DATE_SET,DATE_COL,TIME_START,TIME_END,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,EFFORT,EFFORT_UNIT,GEAR,GEAR_CODE,GEAR_CODE2,NUMBER_ANGLERS,ANGLER_NAMES,ANGLER_LOC,ANGLER_HOURS,ANGLER_TRIPS,NET_N,NET_LEN,NET_HGT,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,SHB_N,REACH_LENGTH_M,PROJECT,COMMENTS
BEF.FBL.2002.019,FBL,,,10/2/2002,,,F,275,10,2002,6,76,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2002.020,FBL,,,10/2/2002,,,F,275,10,2002,7,453,SECONDS,BEF,NAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.001,FBL,BEF.FBL.040,,5/20/2003,,,S,140,5,2003,1,113,SECONDS,BEF,DAI,,,,,,,,,,12,,,,,,JMR,,,,,
BEF.FBL.2003.002,FBL,BEF.FBL.041,,5/20/2003,,,S,140,5,2003,2,108,SECONDS,BEF,DAI,,,,,,,,,,12,,,,,,JMR,,,,,
BEF.FBL.2003.003,FBL,BEF.FBL.042,,5/20/2003,,,S,140,5,2003,3,47,SECONDS,BEF,DAI,,,,,,,,,,13,,,,,,JMR,,,,,
BEF.FBL.2003.004,FBL,BEF.FBL.043,,5/20/2003,,,S,140,5,2003,4,45,SECONDS,BEF,DAI,,,,,,,,,,13,,,,,,JMR,,,,,
BEF.FBL.2003.005,FBL,BEF.FBL.044,,5/20/2003,,,S,140,5,2003,5,87,SECONDS,BEF,DAI,,,,,,,,,,12,,,,,,JMR,,,,,
BEF.FBL.2003.006,FBL,BEF.FBL.045,,5/20/2003,,,S,140,5,2003,6,34,SECONDS,BEF,DAI,,,,,,,,,,12,,,,,,JMR,,,,,
BEF.FBL.2003.007,FBL,BEF.FBL.046,,5/20/2003,,,S,140,5,2003,7,121,SECONDS,BEF,DAI,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.008,FBL,BEF.FBL.047,,5/20/2003,,,S,140,5,2003,8,57,SECONDS,BEF,DAI,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.009,FBL,BEF.FBL.048,,5/20/2003,,,S,140,5,2003,9,56,SECONDS,BEF,DAI,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.010,FBL,BEF.FBL.049,,5/20/2003,,,S,140,5,2003,10,27,SECONDS,BEF,DAI,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.011,FBL,BEF.FBL.016,,5/27/2003,,,S,147,5,2003,1,818,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.012,FBL,BEF.FBL.017,,5/27/2003,,,S,147,5,2003,2,376,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.013,FBL,BEF.FBL.018,,5/27/2003,,,S,147,5,2003,3,776,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.014,FBL,BEF.FBL.019,,5/27/2003,,,S,147,5,2003,4,305,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.015,FBL,BEF.FBL.020,,5/27/2003,,,S,147,5,2003,5,230,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.016,FBL,BEF.FBL.021,,5/27/2003,,,S,147,5,2003,6,205,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.017,FBL,BEF.FBL.022,,5/27/2003,,,S,147,5,2003,7,710,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.018,FBL,BEF.FBL.023,,5/27/2003,,,S,147,5,2003,8,255,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.019,FBL,BEF.FBL.024,,5/27/2003,,,S,147,5,2003,9,215,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.020,FBL,BEF.FBL.025,,5/27/2003,,,S,147,5,2003,10,869,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.021,FBL,BEF.FBL.026,,5/27/2003,,,S,147,5,2003,11,490,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.022,FBL,BEF.FBL.027,,5/27/2003,,,S,147,5,2003,12,716,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.023,FBL,BEF.FBL.028,,5/27/2003,,,S,147,5,2003,13,494,SECONDS,BEF,NAF,,,,,,,,,,10.8,,,,,,,,,,,
BEF.FBL.2003.024,FBL,BEF.FBL.029,,5/28/2003,,,S,148,5,2003,1,816,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.025,FBL,BEF.FBL.030,,5/28/2003,,,S,148,5,2003,2,420,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.026,FBL,BEF.FBL.031,,5/28/2003,,,S,148,5,2003,3,446,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.027,FBL,BEF.FBL.032,,5/28/2003,,,S,148,5,2003,4,794,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.028,FBL,BEF.FBL.033,,5/28/2003,,,S,148,5,2003,5,841,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.029,FBL,BEF.FBL.034,,5/28/2003,,,S,148,5,2003,6,517,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.030,FBL,BEF.FBL.035,,5/28/2003,,,S,148,5,2003,7,635,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.031,FBL,BEF.FBL.036,,5/28/2003,,,S,148,5,2003,8,376,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.032,FBL,BEF.FBL.037,,5/28/2003,,,S,148,5,2003,9,448,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.033,FBL,BEF.FBL.038,,5/28/2003,,,S,148,5,2003,10,446,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.034,FBL,BEF.FBL.039,,5/28/2003,,,S,148,5,2003,11,518,SECONDS,BEF,NAF,,,,,,,,,,10.1,,,,,,,,,,,
BEF.FBL.2003.035,FBL,BEF.FBL.102,,6/3/2003,,,S,154,6,2003,1,68,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.036,FBL,BEF.FBL.106,,6/3/2003,,,S,154,6,2003,2,81,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.037,FBL,BEF.FBL.109,,6/3/2003,,,S,154,6,2003,3,78,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.038,FBL,BEF.FBL.118,,6/3/2003,,,S,154,6,2003,4,115,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.039,FBL,BEF.FBL.121,,6/3/2003,,,S,154,6,2003,5,243,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.040,FBL,BEF.FBL.122,,6/3/2003,,,S,154,6,2003,6,279,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.041,FBL,BEF.FBL.130,,6/3/2003,,,S,154,6,2003,7,134,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.042,FBL,BEF.FBL.132,,6/3/2003,,,S,154,6,2003,8,94,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.043,FBL,BEF.FBL.135,,6/3/2003,,,S,154,6,2003,9,97,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.044,FBL,BEF.FBL.137,,6/3/2003,,,S,154,6,2003,10,108,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.045,FBL,BEF.FBL.142,,6/3/2003,,,S,154,6,2003,11,62,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.046,FBL,BEF.FBL.145,,6/3/2003,,,S,154,6,2003,12,137,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.047,FBL,BEF.FBL.146,,6/3/2003,,,S,154,6,2003,13,59,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.048,FBL,BEF.FBL.155,,6/3/2003,,,S,154,6,2003,14,66,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.049,FBL,BEF.FBL.158,,6/3/2003,,,S,154,6,2003,15,106,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.050,FBL,BEF.FBL.160,,6/3/2003,,,S,154,6,2003,16,103,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.051,FBL,BEF.FBL.165,,6/3/2003,,,S,154,6,2003,17,80,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.052,FBL,BEF.FBL.166,,6/3/2003,,,S,154,6,2003,18,106,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.053,FBL,BEF.FBL.169,,6/3/2003,,,S,154,6,2003,19,121,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.054,FBL,BEF.FBL.174,,6/3/2003,,,S,154,6,2003,20,110,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.055,FBL,BEF.FBL.180,,6/3/2003,,,S,154,6,2003,21,85,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.056,FBL,BEF.FBL.191,,6/3/2003,,,S,154,6,2003,22,123,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.057,FBL,BEF.FBL.193,,6/3/2003,,,S,154,6,2003,23,157,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.058,FBL,BEF.FBL.197,,6/3/2003,,,S,154,6,2003,24,92,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.059,FBL,BEF.FBL.200,,6/3/2003,,,S,154,6,2003,25,152,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.060,FBL,BEF.FBL.203,,6/3/2003,,,S,154,6,2003,26,106,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.061,FBL,BEF.FBL.211,,6/3/2003,,,S,154,6,2003,27,112,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.062,FBL,BEF.FBL.215,,6/3/2003,,,S,154,6,2003,28,138,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.063,FBL,BEF.FBL.216,,6/3/2003,,,S,154,6,2003,29,235,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.064,FBL,BEF.FBL.219,,6/3/2003,,,S,154,6,2003,30,69,SECONDS,BEF,NQEF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.065,FBL,BEF.FBL.016,,9/16/2003,1/0/1900 9:50,,F,259,9,2003,1,726,SECONDS,BEF,DAF,,,,,,,,,,19,,,,,,JMR,"JMR,DCJ",,,,
BEF.FBL.2003.066,FBL,BEF.FBL.017,,9/16/2003,,,F,259,9,2003,2,281,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.067,FBL,BEF.FBL.018,,9/16/2003,,,F,259,9,2003,3,448,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.068,FBL,BEF.FBL.019,,9/16/2003,,,F,259,9,2003,4,331,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.069,FBL,BEF.FBL.020,,9/16/2003,,,F,259,9,2003,5,141,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.070,FBL,BEF.FBL.021,,9/16/2003,,,F,259,9,2003,6,449,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.071,FBL,BEF.FBL.022,,9/16/2003,,,F,259,9,2003,7,904,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.072,FBL,BEF.FBL.023,,9/16/2003,,,F,259,9,2003,8,238,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.073,FBL,BEF.FBL.024,,9/16/2003,,,F,259,9,2003,9,225,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.074,FBL,BEF.FBL.034,,9/16/2003,,,F,259,9,2003,10,391,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.075,FBL,BEF.FBL.035,,9/16/2003,,,F,259,9,2003,11,469,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.076,FBL,BEF.FBL.036,,9/16/2003,,,F,259,9,2003,12,199,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.077,FBL,BEF.FBL.037,,9/16/2003,,,F,259,9,2003,13,381,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.078,FBL,BEF.FBL.038,,9/16/2003,,,F,259,9,2003,14,339,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.079,FBL,BEF.FBL.039,,9/16/2003,,,F,259,9,2003,15,504,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.080,FBL,BEF.FBL.025,,9/17/2003,,,F,260,9,2003,1,882,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
BEF.FBL.2003.081,FBL,BEF.FBL.026,,9/17/2003,,,F,260,9,2003,2,498,SECONDS,BEF,DAF,,,,,,,,,,,,,,,,JMR,,,,,
