YSAMP_N,NEW_SAMP,MA_ID,WATER,SITE_N,,DATE_SET,DATE_COL,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,TIME_START,TIME_END,GEAR,GEAR_CODE,GEAR_CODE2,EFFORT,EFFORT_UNIT,NET_N,NET_LEN,NET_HGT,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,NUMBER_ANGLER+AC:AGS,ANGLER_NAMES,ANGLER_HOURS,ANGLER_TRIPS,ANGLER_LOC,PROJECT,COMMENTS,SHB_N,REACH_LENGTH_M,PASS
MWT.TPP.2021.063,MWT.TPP.2021.061,SAMP 59,TPP,3C,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,15:12,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,HOLE IN NET,NA,NA,NA
MWT.TPP.2021.064,MWT.TPP.2021.062,SAMP 60,TPP,3C,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,15:12,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.061,MWT.TPP.2021.063,SAMP 57,TPP,2C,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,15:30,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.062,MWT.TPP.2021.064,SAMP 58,TPP,2C,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,15:30,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.057,MWT.TPP.2021.065,SAMP 53,TPP,2B ,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,15:35,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.058,MWT.TPP.2021.066,SAMP 54,TPP,2B ,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,15:35,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.059,MWT.TPP.2021.067,SAMP 55,TPP,2A,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,15:41,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.060,MWT.TPP.2021.068,SAMP 56,TPP,2A,,8/19/2021,8/20/2021,SUMMER,NA,NA,2021,NA,13:30,15:41,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,HOLE IN NET REMOVED TO SEW,NA,NA,NA
MWT.TPP.2021.069,MWT.TPP.2021.069,SAMP 65,TPP,1A,,8/20/2021,8/20/2021,SUMMER,NA,NA,2021,NA,16:00,16:13,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.070,MWT.TPP.2021.070,SAMP 66,TPP,1A,,8/20/2021,8/20/2021,SUMMER,NA,NA,2021,NA,16:00,16:13,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.071,MWT.TPP.2021.071,SAMP 67,TPP,1B,,8/20/2021,8/20/2021,SUMMER,NA,NA,2021,NA,16:00,16:36,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.072,MWT.TPP.2021.072,SAMP 68,TPP,1B,,8/20/2021,8/20/2021,SUMMER,NA,NA,2021,NA,16:00,16:36,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.093,MWT.TPP.2021.073,SAMP 69,TPP,1A,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,16:13,9:13,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.094,MWT.TPP.2021.074,SAMP 70,TPP,1A,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,16:13,9:13,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.095,MWT.TPP.2021.075,SAMP 71,TPP,1B,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,16:36,9:23,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.096,MWT.TPP.2021.076,SAMP 72,TPP,1B,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,16:36,9:23,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.073,MWT.TPP.2021.077,SAMP 73,TPP,1C,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,16:53,10:30,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.074,MWT.TPP.2021.078,SAMP 74,TPP,1C,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,16:53,10:30,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.075,MWT.TPP.2021.079,SAMP 75,TPP,3A,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,14:57,10:35,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.076,MWT.TPP.2021.080,SAMP 76,TPP,3A,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,14:57,10:35,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.077,MWT.TPP.2021.081,SAMP 77,TPP,3B,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,15:05,10:40,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.078,MWT.TPP.2021.082,SAMP 78,TPP,3B,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,15:05,10:40,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.079,MWT.TPP.2021.083,SAMP 79,TPP,3C,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,15:12,10:47,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.080,MWT.TPP.2021.084,SAMP 80,TPP,3C,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,15:12,10:47,MWT,MPT,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
MWT.TPP.2021.081,MWT.TPP.2021.085,SAMP 81,TPP,3C,,8/20/2021,8/21/2021,SUMMER,NA,NA,2021,NA,15:30,11:15,MWT,MESH,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA
