YSAMP_N,MA_ID,WATER,SITE_N,DATE_SET,DATE_COL,TIME_START,TIME_END,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,EFFORT,EFFORT_UNIT,GEAR,GEAR_CODE,GEAR_CODE2,CREW,COMMENTS
MWT.TPP.2021.070,SAMP 66,TPP,1A,8/20/2021,8/20/2021,16:00,16:13,SUMMER,20,8,2021,14,0.22,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.071,SAMP 67,TPP,1B,8/20/2021,8/20/2021,16:00,16:36,SUMMER,20,8,2021,15,0.6,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.072,SAMP 68,TPP,1B,8/20/2021,8/20/2021,16:00,16:36,SUMMER,20,8,2021,16,0.6,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.073,SAMP 224,TPP,1C,8/20/2021,8/20/2021,14:37,16:53,SUMMER,20,8,2021,17,2.26,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.074,SAMP 69,TPP,1A,8/20/2021,8/21/2021,16:13,9:13,SUMMER,21,8,2021,1,17,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.075,SAMP 70,TPP,1A,8/20/2021,8/21/2021,16:13,9:13,SUMMER,21,8,2021,2,17,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.076,SAMP 71,TPP,1B,8/20/2021,8/21/2021,16:36,9:23,SUMMER,21,8,2021,3,16.78,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.077,SAMP 72,TPP,1B,8/20/2021,8/21/2021,16:36,9:23,SUMMER,21,8,2021,4,16.78,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.078,SAMP 73,TPP,1C,8/20/2021,8/21/2021,16:53,10:30,SUMMER,21,8,2021,5,17.62,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.079,SAMP 74,TPP,1C,8/20/2021,8/21/2021,16:53,10:30,SUMMER,21,8,2021,6,17.62,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.080,SAMP 75,TPP,3A,8/20/2021,8/21/2021,14:57,10:35,SUMMER,21,8,2021,7,19.63,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.081,SAMP 76,TPP,3A,8/20/2021,8/21/2021,14:57,10:35,SUMMER,21,8,2021,8,19.63,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.082,SAMP 77,TPP,3B,8/20/2021,8/21/2021,15:05,10:40,SUMMER,21,8,2021,9,18.87,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.083,SAMP 78,TPP,3B,8/20/2021,8/21/2021,15:05,10:40,SUMMER,21,8,2021,10,18.87,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.084,SAMP 79,TPP,3C,8/20/2021,8/21/2021,15:12,10:47,SUMMER,21,8,2021,11,19.58,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.085,SAMP 80,TPP,3C,8/20/2021,8/21/2021,15:12,10:47,SUMMER,21,8,2021,12,19.58,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.086,SAMP 81,TPP,3C,8/20/2021,8/21/2021,15:30,11:15,SUMMER,21,8,2021,13,19.75,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.087,SAMP 82,TPP,3C,8/20/2021,8/21/2021,15:30,11:15,SUMMER,21,8,2021,14,19.75,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.088,SAMP 83,TPP,2C,8/20/2021,8/21/2021,15:30,11:23,SUMMER,21,8,2021,15,19.88,HOURS,MWT,MESH ,,"MEA, DAW, NSL",HOLE IN NET
MWT.TPP.2021.089,SAMP 84,TPP,2C,8/20/2021,8/21/2021,15:30,11:23,SUMMER,21,8,2021,16,19.88,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.090,SAMP 85,TPP,2B ,8/20/2021,8/21/2021,15:35,11:30,SUMMER,21,8,2021,17,19.92,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.091,SAMP 86,TPP,2B ,8/20/2021,8/21/2021,15:35,11:30,SUMMER,21,8,2021,18,19.92,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.092,SAMP 87,TPP,2A,8/20/2021,8/21/2021,15:41,11:39,SUMMER,21,8,2021,19,19.97,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.093,SAMP 88,TPP,2A,8/20/2021,8/21/2021,15:41,11:39,SUMMER,21,8,2021,20,19.97,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.094,SAMP 89,TPP,4B,8/21/2021,8/21/2021,10:30,12:28,SUMMER,21,8,2021,21,1.97,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.095,SAMP 90,TPP,4C,8/21/2021,8/21/2021,10:30,12:30,SUMMER,21,8,2021,22,2,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.096,SAMP 91,TPP,4D,8/21/2021,8/21/2021,10:30,12:33,SUMMER,21,8,2021,23,2.05,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.097,SAMP 92,TPP,4A,8/21/2021,8/21/2021,10:30,12:36,SUMMER,21,8,2021,24,2.1,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.098,SAMP 225,TPP,1A,8/21/2021,8/22/2021,9:23,13:48,SUMMER,21,8,2021,1,16.3,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.099,SAMP 226,TPP,1A,8/21/2021,8/22/2021,9:23,13:48,SUMMER,21,8,2021,2,16.3,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.100,SAMP 227,TPP,1B,8/21/2021,8/22/2021,9:23,13:53,SUMMER,21,8,2021,3,16.5,HOURS,MWT,MESH ,,"MEA, DAW, NSL",
MWT.TPP.2021.101,SAMP 228,TPP,1B,8/21/2021,8/22/2021,9:23,13:53,SUMMER,21,8,2021,4,16.5,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.102,SAMP 100,TPP,1B,8/21/2021,8/22/2021,9:23,13:54,SUMMER,22,8,2021,1,28.52,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.103,SAMP 99,TPP,1C,8/21/2021,8/22/2021,10:30,13:56,SUMMER,22,8,2021,2,27.43,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.104,SAMP 97,TPP,1A,8/22/2021,8/22/2021,13:48,14:17,SUMMER,22,8,2021,3,0.48,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.105,SAMP 98,TPP,4A,8/21/2021,8/22/2021,12:36,14:34,SUMMER,22,8,2021,4,25.97,HOURS,MWT,MESH,DFB,"MEA, DAW, NSL",
MWT.TPP.2021.106,SAMP 103,TPP,4B,8/21/2021,8/22/2021,12:28,14:39,SUMMER,22,8,2021,5,26.18,HOURS,MWT,MESH ,DFB,"MEA, DAW, NSL",
MWT.TPP.2021.107,SAMP 109,TPP,1C,8/22/2021,8/22/2021,14:00,14:39,SUMMER,22,8,2021,6,0.65,HOURS,MWT,MESH,,"MEA, DAW, NSL",TRAP OPEN
MWT.TPP.2021.108,SAMP 104,TPP,4C,8/21/2021,8/22/2021,12:30,14:41,SUMMER,22,8,2021,7,26.18,HOURS,MWT,MESH,DFB,"MEA, DAW, NSL",
MWT.TPP.2021.109,SAMP 101,TPP,3A,8/21/2021,8/22/2021,10:35,14:51,SUMMER,22,8,2021,8,28.27,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.110,SAMP 102,TPP,3A,8/21/2021,8/22/2021,10:35,14:51,SUMMER,22,8,2021,9,28.27,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.111,SAMP 112,TPP,1B,8/22/2021,8/22/2021,14:00,14:54,SUMMER,22,8,2021,10,0.9,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.112,SAMP 105,TPP,3B,8/21/2021,8/22/2021,10:40,14:56,SUMMER,22,8,2021,11,28.26,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.113,SAMP 106,TPP,3B,8/21/2021,8/22/2021,10:40,14:56,SUMMER,22,8,2021,12,28.26,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.114,SAMP 107,TPP,3C,8/21/2021,8/22/2021,10:47,14:59,SUMMER,22,8,2021,13,28.2,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.115,SAMP 108,TPP,3C,8/21/2021,8/22/2021,10:47,14:59,SUMMER,22,8,2021,14,28.2,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.116,SAMP 114,TPP,1A,8/22/2021,8/22/2021,14:00,15:02,SUMMER,22,8,2021,15,1.3,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.117,SAMP 93,TPP,2C,8/21/2021,8/22/2021,11:15,15:29,SUMMER,22,8,2021,16,28.23,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.118,SAMP 94,TPP,2B ,8/21/2021,8/22/2021,11:30,15:29,SUMMER,22,8,2021,17,27.98,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.TPP.2021.119,SAMP 110,TPP,1C,8/22/2021,8/22/2021,15:00,15:39,SUMMER,22,8,2021,18,0.65,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.120,SAMP 113,TPP,1B,8/22/2021,8/22/2021,14:54,15:40,SUMMER,22,8,2021,19,0.77,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.121,SAMP 95,TPP,2B ,8/21/2021,8/22/2021,11:30,15:42,SUMMER,22,8,2021,20,28.2,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.122,SAMP 115,TPP,1A,8/22/2021,8/22/2021,15:02,15:45,SUMMER,22,8,2021,21,0.45,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.123,SAMP 96,TPP,2A,8/21/2021,8/22/2021,11:35,15:52,SUMMER,22,8,2021,22,28.29,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.124,SAMP 111,TPP,1C,8/22/2021,8/22/2021,15:30,15:56,SUMMER,22,8,2021,23,0.43,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.TPP.2021.125,SAMP 116,TPP,1A,8/22/2021,8/22/2021,15:45,16:05,SUMMER,22,8,2021,24,1.05,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.LOP.2021.001,SAMP 148,LOP,2,6/18/2021,6/19/2021,17:00,9:47,SUMMER,19,6,2021,1,16.78,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.LOP.2021.002,SAMP 149,LOP,2,6/18/2021,6/19/2021,17:00,9:49,SUMMER,19,6,2021,2,16.82,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.LOP.2021.003,SAMP 150,LOP,2,6/18/2021,6/19/2021,17:00,10:05,SUMMER,19,6,2021,3,17.8,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.LOP.2021.004,SAMP 151,LOP,2,6/18/2021,6/19/2021,17:00,10:10,SUMMER,19,6,2021,4,17.17,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.LOP.2021.005,SAMP 154,LOP,2,6/18/2021,6/19/2021,17:00,10:25,SUMMER,19,6,2021,5,17.42,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.LOP.2021.006,SAMP 155,LOP,2,6/18/2021,6/19/2021,17:00,10:25,SUMMER,19,6,2021,6,17.42,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.LOP.2021.007,SAMP 156,LOP,2,6/18/2021,6/19/2021,17:00,10:30,SUMMER,19,6,2021,7,17.5,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.LOP.2021.008,SAMP 157,LOP,2,6/18/2021,6/19/2021,17:00,10:30,SUMMER,19,6,2021,8,17.5,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.LOP.2021.009,SAMP 152,LOP,2,6/18/2021,6/19/2021,17:00,10:45,SUMMER,19,6,2021,9,17.75,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.LOP.2021.010,SAMP 153,LOP,2,6/18/2021,6/19/2021,17:00,10:50,SUMMER,19,6,2021,10,17.83,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.LOP.2021.011,SAMP 134,LOP,2,6/19/2021,6/19/2021,11:00,12:44,SUMMER,19,6,2021,11,1.73,HOURS,MWT,MPT,,"MEA, DAW, NSL",
MWT.LOP.2021.012,SAMP 135,LOP,2,6/19/2021,6/19/2021,11:00,12:47,SUMMER,19,6,2021,12,1.78,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.LOP.2021.013,SAMP 132,LOP,2,6/18/2021,6/19/2021,17:00,13:13,SUMMER,19,6,2021,13,20.22,HOURS,MWT,MMT,,"MEA, DAW, NSL",
MWT.LOP.2021.014,SAMP 133,LOP,2,6/19/2021,6/19/2021,11:00,13:16,SUMMER,19,6,2021,14,2.27,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.LOP.2021.015,SAMP 136,LOP,2,6/19/2021,6/19/2021,11:00,12:14,SUMMER,19,6,2021,15,1.23,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.LOP.2021.016,SAMP 137,LOP,2,6/19/2021,6/19/2021,11:00,12:20,SUMMER,19,6,2021,16,1.33,HOURS,MWT,MESH,,"MEA, DAW, NSL",
MWT.LOP.2021.017,SAMP 138,LOP,2,6/19/2021,6/19/2021,11:00,12:23,SUMMER,19,6,2021,17,1.38,HOURS,MWT,MMT,,"MEA, DAW, NSL",
