YSAMP,SAMP_N,GROUP,MONTH
DPN.MSL.2023.001,OD.MSL.2023.048,MACROINVERTEBRATES,
DPN.MSL.2023.001,TR.MSL.2023.049,MACROINVERTEBRATES,
DPN.MSL.2023.001,EP.MSL.2023.050,MACROINVERTEBRATES,
DPN.MSL.2023.001,EP.MSL.2023.051,MACROINVERTEBRATES,
DPN.MSL.2023.001,EP.MSL.2023.052,MACROINVERTEBRATES,
DPN.MSL.2023.001,TR.MSL.2023.053,MACROINVERTEBRATES,
DPN.MSL.2023.001,NULL.DEGRADED,MACROINVERTEBRATES,
DPN.MSL.2023.001,NULL.DEGRADED,MACROINVERTEBRATES,
DPN.MSL.2023.001,CO.MSL.2023.054,MACROINVERTEBRATES,
DPN.MSL.2023.001,NULL.DEGRADED,MACROINVERTEBRATES,
DPN.MSL.2023.001,CO.MSL.2023.055,MACROINVERTEBRATES,
DPN.LML.2023.001,OD.LML.2023.056,MACROINVERTEBRATES,
DPN.LML.2023.001,OD.LML.2023.057,MACROINVERTEBRATES,
DPN.LML.2023.001,OD.LML.2023.058,MACROINVERTEBRATES,
SHS.ETL.2023.002,EP.ETL.2023.059,MACROINVERTEBRATES,
SHS.ETL.2023.002,EP.ETL.2023.060,MACROINVERTEBRATES,
SHS.ETL.2023.002,EP.ETL.2023.061,MACROINVERTEBRATES,
SHS.ETL.2023.002,EP.ETL.2023.062,MACROINVERTEBRATES,
SHS.ETL.2023.002,EP.ETL.2023.063,MACROINVERTEBRATES,
SHS.ETL.2023.002,HI.ETL.2023.064,MACROINVERTEBRATES,
SHS.ETL.2023.002,EP.ETL.2023.065,MACROINVERTEBRATES,
DPN.LML.2023.001*,EP.LML.2023.066,MACROINVERTEBRATES,
DPN.LML.2023.001*,AM.LML.2023.067,MACROINVERTEBRATES,
DPN.LML.2023.001*,AM.LML.2023.068,MACROINVERTEBRATES,
DPN.LML.2023.001*,AM.LML.2023.069,MACROINVERTEBRATES,
DPN.LML.2023.001*,MO.LML.2023.070,MACROINVERTEBRATES,
DPN.LML.2023.001*,DI.LML.2023.071,MACROINVERTEBRATES,
DPN.LML.2023.001*,DI.LML.2023.072,MACROINVERTEBRATES,
DPN.ETL.2023.001,TR.ETL.2023.73,MACROINVERTEBRATES,
DPN.ETL.2023.001,OD.ETL.2023.74,MACROINVERTEBRATES,
DPN.ETL.2023.001,OD.ETL.2023.75,MACROINVERTEBRATES,
DPN.ETL.2023.001,OD.ETL.2023.76,MACROINVERTEBRATES,
DPN.ETL.2023.001,OD.ETL.2023.77,MACROINVERTEBRATES,
DPN.ETL.2023.001,OD.ETL.2023.78,MACROINVERTEBRATES,
DPN.ETL.2023.001,OD.ETL.2023.79,MACROINVERTEBRATES,
DPN.ETL.2023.001,OD.ETL.2023.80,MACROINVERTEBRATES,
DPN.ETL.2023.001,OD.ETL.2023.81,MACROINVERTEBRATES,
DPN.ETL.2023.001,OD.ETL.2023.82,MACROINVERTEBRATES,
DPN.ETL.2023.001,NULL.DEGRADED,MACROINVERTEBRATES,
DPN.ETL.2023.001,TR.ETL.2023.83,MACROINVERTEBRATES,
DPN.ETL.2023.001,TR.ETL.2023.84,MACROINVERTEBRATES,
DPN.ETL.2023.001,AM.ETL.2023.85,MACROINVERTEBRATES,
DPN.ETL.2023.001,NULL.DEGRADED,MACROINVERTEBRATES,
DPN.ETL.2023.001,IS.ETL.2023.86,MACROINVERTEBRATES,
DPN.ETL.2023.001,EP.ETL.2023.87,MACROINVERTEBRATES,
DPN.ETL.2023.001,IS.ETL.2023.88,MACROINVERTEBRATES,
DPN.ETL.2023.001,IS.ETL.2023.89,MACROINVERTEBRATES,
DPN.ETL.2023.001,IS.ETL.2023.90,MACROINVERTEBRATES,
DPN.ETL.2023.001,IS.ETL.2023.91,MACROINVERTEBRATES,
DPN.ETL.2023.001,EP.ETL.2023.92,MACROINVERTEBRATES,
DPN.ETL.2023.001,EP.ETL.2023.93,MACROINVERTEBRATES,
DPN.ETL.2023.001,EP.ETL.2023.94,MACROINVERTEBRATES,
DPN.ETL.2023.001,EP.ETL.2023.95,MACROINVERTEBRATES,
DPN.ETL.2023.001,TR.ETL.2023.96,MACROINVERTEBRATES,
DPN.ETL.2023.001,CO.ETL.2023.97,MACROINVERTEBRATES,
DPN.ETL.2023.001,DI.ETL.2023.98,MACROINVERTEBRATES,
DPN.ETL.2023.001,AM.ETL.2023.99,MACROINVERTEBRATES,
DPN.ETL.2023.002,OD.ETL.2023.100,MACROINVERTEBRATES,
DPN.ETL.2023.002,OD.ETL.2023.101,MACROINVERTEBRATES,
DPN.ETL.2023.002,NULL.NOID,MACROINVERTEBRATES,
DPN.ETL.2023.002,MO.ETL.2023.102,MACROINVERTEBRATES,
DPN.ETL.2023.002,MO.ETL.2023.103,MACROINVERTEBRATES,
DPN.ETL.2023.002,MO.ETL.2023.104,MACROINVERTEBRATES,
DPN.ETL.2023.002,NULL.DEGRADED,MACROINVERTEBRATES,
DPN.ETL.2023.002,OD.ETL.2023.105,MACROINVERTEBRATES,
DPN.ETL.2023.002,DI.ETL.2023.106,MACROINVERTEBRATES,
DPN.ETL.2023.002,BI.ETL.2023.107,MACROINVERTEBRATES,
DPN.ETL.2023.002,OD.ETL.2023.108,MACROINVERTEBRATES,
DPN.ETL.2023.002,AM.ETL.2023.109,MACROINVERTEBRATES,
DPN.ETL.2023.002,HE.ETL.2023.110,MACROINVERTEBRATES,
DPN.ETL.2023.002,HE.ETL.2023.111,MACROINVERTEBRATES,
SHS.LML.2023.002,EP.LML.2023.112,MACROINVERTEBRATES,
SHS.LML.2023.002,EP.LML.2023.113,MACROINVERTEBRATES,
SHS.LML.2023.002,EP.LML.2023.114,MACROINVERTEBRATES,
SHS.LML.2023.002,EP.LML.2023.115,MACROINVERTEBRATES,
SHS.LML.2023.002,EP.LML.2023.116,MACROINVERTEBRATES,
SHS.LML.2023.002,AM.LML.2023.117,MACROINVERTEBRATES,
SHS.LML.2023.002,EP.LML.2023.118,MACROINVERTEBRATES,
SHS.LML.2023.002,EP.LML.2023.119,MACROINVERTEBRATES,
SHS.LML.2023.002,EP.LML.2023.120,MACROINVERTEBRATES,
SHS.LML.2023.002,EP.LML.2023.121,MACROINVERTEBRATES,
DPN.LML.2023.002,AM.LML.2023.122,MACROINVERTEBRATES,
DPN.LML.2023.002,AM.LML.2023.123,MACROINVERTEBRATES,
DPN.LML.2023.002,NULL.DEGRADED,MACROINVERTEBRATES,
DPN.LML.2023.002,BI.LML.2023.124,MACROINVERTEBRATES,
DPN.LML.2023.002,OD.LML.2023.125,MACROINVERTEBRATES,
DPN.LML.2023.002,DE.LML.2023.126,MACROINVERTEBRATES,
DPN.LML.2023.002,IS.LML.2023.127,MACROINVERTEBRATES,
DPN.LML.2023.002,IS.LML.2023.128,MACROINVERTEBRATES,
SHS.LML.2023.001,EP.LML.2023.129,MACROINVERTEBRATES,
SHS.LML.2023.001,EP.LML.2023.130,MACROINVERTEBRATES,
SHS.LML.2023.001,EP.LML.2023.131,MACROINVERTEBRATES,
SHS.LML.2023.001,EP.LML.2023.132,MACROINVERTEBRATES,
SHS.LML.2023.001,PL.LML.2023.133,MACROINVERTEBRATES,
SHS.LML.2023.001,CO.LML.2023.134,MACROINVERTEBRATES,
SHS.LML.2023.001,NULL.DEGRADED,MACROINVERTEBRATES,
SHS.LML.2023.001,AM.LML.2023.135,MACROINVERTEBRATES,
SHS.LML.2023.001,AM.LML.2023.136,MACROINVERTEBRATES,
SHS.LML.2023.001,NULL.DEGRADED,MACROINVERTEBRATES,
SHS.COM.2023.001,NO INVERTEBRATES,MACROINVERTEBRATES,
SHS.COM.2023.002,DI.COM.2023.137,MACROINVERTEBRATES,
SHS.COM.2023.002,OD.COM.2023.138,MACROINVERTEBRATES,
SHS.COM.2023.002,HI.COM.2023.139,MACROINVERTEBRATES,
DPN.COM.2023.001,OD.COM.2023.140,MACROINVERTEBRATES,
DPN.COM.2023.001,HI.COM.2023.141,MACROINVERTEBRATES,
DPN.COM.2023.001,HI.COM.2023.142,MACROINVERTEBRATES,
DPN.COM.2023.001,TR.COM.2023.143,MACROINVERTEBRATES,
DPN.COM.2023.001,DI.COM.2023.144,MACROINVERTEBRATES,
DPN.COM.2023.001,DI.COM.2023.145,MACROINVERTEBRATES,
DPN.COM.2023.001,DI.COM.2023.146,MACROINVERTEBRATES,
DPN.COM.2023.001,OD.COM.2023.147,MACROINVERTEBRATES,
DPN.COM.2023.001,OD.COM.2023.148,MACROINVERTEBRATES,
DPN.COM.2023.001,OD.COM.2023.149,MACROINVERTEBRATES,
DPN.COM.2023.001,OD.COM.2023.150,MACROINVERTEBRATES,
DPN.COM.2023.001,OD.COM.2023.151,MACROINVERTEBRATES,
DPN.COM.2023.001,OD.COM.2023.152,MACROINVERTEBRATES,
DPN.COM.2023.001,OD.COM.2023.153,MACROINVERTEBRATES,
DPN.COM.2023.001,OD.COM.2023.154,MACROINVERTEBRATES,
DPN.COM.2023.002,OD.COM.2023.155,MACROINVERTEBRATES,
DPN.COM.2023.002,OD.COM.2023.156,MACROINVERTEBRATES,
DPN.COM.2023.002,OD.COM.2023.157,MACROINVERTEBRATES,
DPN.COM.2023.002,DI.COM.2023.158,MACROINVERTEBRATES,
DPN.COM.2023.002,DI.COM.2023.159,MACROINVERTEBRATES,
DPN.COM.2023.002,DI.COM.2023.160,MACROINVERTEBRATES,
DPN.COM.2023.002,DI.COM.2023.161,MACROINVERTEBRATES,
DPN.COM.2023.002,NULL.DEGRADED,MACROINVERTEBRATES,
DPN.COM.2023.002,ME.COM.2023.162,MACROINVERTEBRATES,
DPN.COM.2023.002,HI.COM.2023.163,MACROINVERTEBRATES,
SHS.GNL.2023.002,OD.GNL.2023.164,MACROINVERTEBRATES,
SHS.GNL.2023.002,GA.GNL.2023.165,MACROINVERTEBRATES,
SHS.GNL.2023.002,GA.GNL.2023.166,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.167,MACROINVERTEBRATES,
DPN.REL.2023.002,AM.REL.2023.168,MACROINVERTEBRATES,
DPN.REL.2023.002,GA.REL.2023.169,MACROINVERTEBRATES,
DPN.REL.2023.002,BI.REL.2023.170,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.171,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.172,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.173,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.174,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.175,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.176,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.177,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.178,MACROINVERTEBRATES,
DPN.REL.2023.002,EP.REL.2023.179,MACROINVERTEBRATES,
DPN.REL.2023.002,HY.REL.2023.180,MACROINVERTEBRATES,
DPN.REL.2023.002,GA.REL.2023.181,MACROINVERTEBRATES,
DPN.REL.2023.002,GA.REL.2023.181,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.182,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.183,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.184,MACROINVERTEBRATES,
SHS.REL.2023.002,EP.REL.2023.185,MACROINVERTEBRATES,
SHS.REL.2023.002,AM.REL.2023.186,MACROINVERTEBRATES,
SHS.REL.2023.002,HI.REL.2023.187,MACROINVERTEBRATES,
SHS.REL.2023.002,GA.REL.2023.188,MACROINVERTEBRATES,
DPN.REL.2023.001,OD.REL.2023.189,MACROINVERTEBRATES,
DPN.REL.2023.001,OD.REL.2023.190,MACROINVERTEBRATES,
DPN.REL.2023.001,OD.REL.2023.191,MACROINVERTEBRATES,
DPN.REL.2023.001,OD.REL.2023.192,MACROINVERTEBRATES,
DPN.REL.2023.001,AM.REL.2023.193,MACROINVERTEBRATES,
SHS.REL.2023.003,OD.REL.2023.194,MACROINVERTEBRATES,
SHS.REL.2023.003,EP.REL.2023.195,MACROINVERTEBRATES,
SHS.REL.2023.003,CO.REL.2023.196,MACROINVERTEBRATES,
SHS.REL.2023.003,GA.REL.2023.197,MACROINVERTEBRATES,
SHS.REL.2023.003,AM.REL.2023.198,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.199,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.200,MACROINVERTEBRATES,
DPN.REL.2023.002,GA.REL.2023.201,MACROINVERTEBRATES,
DPN.REL.2023.002,GA.REL.2023.202,MACROINVERTEBRATES,
DPN.REL.2023.002,GA.REL.2023.203,MACROINVERTEBRATES,
DPN.REL.2023.002,EP.REL.2023.204,MACROINVERTEBRATES,
DPN.REL.2023.002,EP.REL.2023.205,MACROINVERTEBRATES,
DPN.REL.2023.002,CO.REL.2023.206,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.207,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.208,MACROINVERTEBRATES,
DPN.REL.2023.002,GA.REL.2023.209,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.210,MACROINVERTEBRATES,
DPN.REL.2023.002,OD.REL.2023.211,MACROINVERTEBRATES,
DPN.REL.2023.002,AM.REL.2023.212,MACROINVERTEBRATES,
DPN.REL.2023.002,EP.REL.2023.213,MACROINVERTEBRATES,
DPN.REL.2023.002,GA.REL.2023.214,MACROINVERTEBRATES,
SHS.UCL.2023.001,EP.UCL.2023.215,MACROINVERTEBRATES,
SHS.UCL.2023.001,EP.UCL.2023.216,MACROINVERTEBRATES,
SHS.UCL.2023.001,EP.UCL.2023.217,MACROINVERTEBRATES,
SHS.UCL.2023.001,TR.UCL.2023.218,MACROINVERTEBRATES,
SHS.UCL.2023.001,TR.UCL.2023.219,MACROINVERTEBRATES,
SHS.UCL.2023.002,TR.UCL.2023.220,MACROINVERTEBRATES,
SHS.UCL.2023.002,EP.UCL.2023.221,MACROINVERTEBRATES,
SHS.UCL.2023.003,DE.UCL.2023.222,MACROINVERTEBRATES,
SHS.UCL.2023.003,DE.UCL.2023.223,MACROINVERTEBRATES,
SHS.UCL.2023.004,EP.UCL.2023.224,MACROINVERTEBRATES,
SHS.UCL.2023.004,EP.UCL.2023.225,MACROINVERTEBRATES,
SHS.UCL.2023.005,EP.UCL.2023.226,MACROINVERTEBRATES,
SHS.UCL.2023.005,EP.UCL.2023.227,MACROINVERTEBRATES,
SHS.UCL.2023.005,EP.UCL.2023.228,MACROINVERTEBRATES,
SHS.UCL.2023.005,EP.UCL.2023.229,MACROINVERTEBRATES,
SHS.UCL.2023.006,TR.UCL.2023.230,MACROINVERTEBRATES,
SHS.UCL.2023.006,TR.UCL.2023.231,MACROINVERTEBRATES,
SHS.UCL.2023.006,EP.UCL.2023.232,MACROINVERTEBRATES,
SHS.UCL.2023.006,EP.UCL.2023.233,MACROINVERTEBRATES,
SHS.UCL.2023.006,EP.UCL.2023.234,MACROINVERTEBRATES,
SHS.UCL.2023.006,EP.UCL.2023.235,MACROINVERTEBRATES,
DPN.UCL.2023.001,OD.UCL.2023.236,MACROINVERTEBRATES,
DPN.UCL.2023.001,OD.UCL.2023.237,MACROINVERTEBRATES,
DPN.UCL.2023.001,EP.UCL.2023.238,MACROINVERTEBRATES,
DPN.UCL.2023.001,EP.UCL.2023.239,MACROINVERTEBRATES,
DPN.UCL.2023.001,EP.UCL.2023.240,MACROINVERTEBRATES,
DPN.UCL.2023.001,EP.UCL.2023.241,MACROINVERTEBRATES,
DPN.UCL.2023.001,MO.UCL.2023.242,MACROINVERTEBRATES,
DPN.UCL.2023.001,TR.UCL.2023.243,MACROINVERTEBRATES,
DPN.UCL.2023.001,CO.UCL.2023.244,MACROINVERTEBRATES,
DPN.UCL.2023.002,OD.UCL.2023.245,MACROINVERTEBRATES,
DPN.UCL.2023.002,OD.UCL.2023.246,MACROINVERTEBRATES,
DPN.UCL.2023.002,EP.UCL.2023.247,MACROINVERTEBRATES,
DPN.UCL.2023.002,EP.UCL.2023.248,MACROINVERTEBRATES,
DPN.UCL.2023.002,EP.UCL.2023.249,MACROINVERTEBRATES,
DPN.UCL.2023.002,EP.UCL.2023.250,MACROINVERTEBRATES,
DPN.UCL.2023.002,EP.UCL.2023.251,MACROINVERTEBRATES,
DPN.UCL.2023.002,GA.UCL.2023.252,MACROINVERTEBRATES,
DPN.UCL.2023.002,NULL,MACROINVERTEBRATES,
SHS.HTL.2023.001,AN.HTL.2023.253,MACROINVERTEBRATES,
SHS.HTL.2023.001,EP.HTL.2023.254,MACROINVERTEBRATES,
SHS.HTL.2023.001,EP.HTL.2023.255,MACROINVERTEBRATES,
SHS.HTL.2023.001,EP.HTL.2023.256,MACROINVERTEBRATES,
SHS.HTL.2023.001,EP.HTL.2023.257,MACROINVERTEBRATES,
SHS.HTL.2023.001,EP.HTL.2023.258,MACROINVERTEBRATES,
SHS.HTL.2023.001,GA.HTL.2023.259,MACROINVERTEBRATES,
SHS.HTL.2023.001,GA.HTL.2023.260,MACROINVERTEBRATES,
SHS.HTL.2023.001,HI.HTL.2023.261,MACROINVERTEBRATES,
SHS.HTL.2023.001,OD.HTL.2023.262,MACROINVERTEBRATES,
SHS.HTL.2023.002,EP.HTL.2023.263,MACROINVERTEBRATES,
SHS.HTL.2023.002,EP.HTL.2023.264,MACROINVERTEBRATES,
SHS.HTL.2023.002,EP.HTL.2023.265,MACROINVERTEBRATES,
SHS.HTL.2023.002,EP.HTL.2023.266,MACROINVERTEBRATES,
SHS.HTL.2023.002,EP.HTL.2023.267,MACROINVERTEBRATES,
SHS.HTL.2023.002,EP.HTL.2023.268,MACROINVERTEBRATES,
SHS.HTL.2023.002,EP.HTL.2023.269,MACROINVERTEBRATES,
SHS.HTL.2023.002,NULL,MACROINVERTEBRATES,
SHS.HTL.2023.002,NULL,MACROINVERTEBRATES,
SHS.HTL.2023.002,HI.HTL.2023.270,MACROINVERTEBRATES,
DPN.HTL.2023.003,OD.HTL.2023.271,MACROINVERTEBRATES,
DPN.HTL.2023.003,EP.HTL.2023.272,MACROINVERTEBRATES,
DPN.HTL.2023.003,EP.HTL.2023.273,MACROINVERTEBRATES,
DPN.HTL.2023.003,OD.HTL.2023.274,MACROINVERTEBRATES,
DPN.HTL.2023.003,OD.HTL.2023.275,MACROINVERTEBRATES,
DPN.HTL.2023.003,DI.HTL.2023.276,MACROINVERTEBRATES,
DPN.HTL.2023.003,GA.HTL.2023.277,MACROINVERTEBRATES,
DPN.HTL.2023.003,EP.HTL.2023.278,MACROINVERTEBRATES,
DPN.HTL.2023.003X,EP.HTL.2023.279,MACROINVERTEBRATES,
DPN.HTL.2023.003X,EP.HTL.2023.280,MACROINVERTEBRATES,
DPN.HTL.2023.003X,EP.HTL.2023.281,MACROINVERTEBRATES,
DPN.HTL.2023.003X,EP.HTL.2023.282,MACROINVERTEBRATES,
DPN.HTL.2023.003X,EP.HTL.2023.283,MACROINVERTEBRATES,
DPN.HTL.2023.003X,EP.HTL.2023.284,MACROINVERTEBRATES,
DPN.HTL.2023.003X,EP.HTL.2023.285,MACROINVERTEBRATES,
DPN.HTL.2023.003X,TR.HTL.2023.286,MACROINVERTEBRATES,
DPN.HTL.2023.003X,AM.HTL.2023.287,MACROINVERTEBRATES,
DPH.HTL.2023.004,OD.HTL.2023.288,MACROINVERTEBRATES,
DPH.HTL.2023.004,OD.HTL.2023.289,MACROINVERTEBRATES,
DPH.HTL.2023.004,OD.HTL.2023.290,MACROINVERTEBRATES,
DPH.HTL.2023.004,OD.HTL.2023.291,MACROINVERTEBRATES,
DPH.HTL.2023.004,OD.HTL.2023.292,MACROINVERTEBRATES,
DPH.HTL.2023.004,OD.HTL.2023.293,MACROINVERTEBRATES,
DPH.HTL.2023.004,HI.HTL.2023.294,MACROINVERTEBRATES,
DPH.HTL.2023.004,HE.HTL.2023.295,MACROINVERTEBRATES,
DPH.HTL.2023.004,AM.HTL.2023.296,MACROINVERTEBRATES,
DPH.HTL.2023.004,GA.HTL.2023.297,MACROINVERTEBRATES,
DPH.HTL.2023.004,GA.HTL.2023.298,MACROINVERTEBRATES,
DPH.HTL.2023.004,GA.HTL.2023.299,MACROINVERTEBRATES,
DPH.HTL.2023.004,GA.HTL.2023.300,MACROINVERTEBRATES,
DPH.HTL.2023.004,GA.HTL.2023.301,MACROINVERTEBRATES,
DPH.HTL.2023.004,GA.HTL.2023.302,MACROINVERTEBRATES,
DPH.HTL.2023.004,GA.HTL.2023.303,MACROINVERTEBRATES,
DPN.HTL.2023.005,OD.HTL.2023.304,MACROINVERTEBRATES,
DPN.HTL.2023.005,OD.HTL.2023.305,MACROINVERTEBRATES,
DPN.HTL.2023.005,OD.HTL.2023.306,MACROINVERTEBRATES,
DPN.HTL.2023.005,OD.HTL.2023.307,MACROINVERTEBRATES,
DPN.HTL.2023.005,OD.HTL.2023.308,MACROINVERTEBRATES,
DPN.HTL.2023.005,OD.HTL.2023.309,MACROINVERTEBRATES,
DPN.HTL.2023.005,OD.HTL.2023.310,MACROINVERTEBRATES,
DPN.HTL.2023.005,OD.HTL.2023.311,MACROINVERTEBRATES,
DPN.HTL.2023.005,EP.HTL.2023.312,MACROINVERTEBRATES,
DPN.HTL.2023.006,OD.HTL.2023.313,MACROINVERTEBRATES,
DPN.HTL.2023.006,OD.HTL.2023.314,MACROINVERTEBRATES,
DPN.HTL.2023.006,HI.HTL.2023.315,MACROINVERTEBRATES,
DPN.HTL.2023.006,EP.HTL.2023.316,MACROINVERTEBRATES,
DPN.HTL.2023.006,EP.HTL.2023.317,MACROINVERTEBRATES,
DPN.HTL.2023.006,EP.HTL.2023.318,MACROINVERTEBRATES,
DPN.HTL.2023.006,EP.HTL.2023.319,MACROINVERTEBRATES,
DPN.HTL.2023.006,EP.HTL.2023.320,MACROINVERTEBRATES,
DPH.HTL.2023.004,GA.HTL.2023.321,MACROINVERTEBRATES,
DPH.HTL.2023.004,GA.HTL.2023.322,MACROINVERTEBRATES,
DPH.HTL.2023.004,NULL.VOUCHER,MACROINVERTEBRATES,
DPH.HTL.2023.004,NULL.VOUCHER,MACROINVERTEBRATES,
DPN.SEL.2023.001,OD.SEL.2023.323,MACROINVERTEBRATES,
DPN.SEL.2023.001,OD.SEL.2023.324,MACROINVERTEBRATES,
DPN.SEL.2023.001,OD.SEL.2023.325,MACROINVERTEBRATES,
DPN.SEL.2023.001,OD.SEL.2023.326,MACROINVERTEBRATES,
DPN.SEL.2023.001,OD.SEL.2023.327,MACROINVERTEBRATES,
DPN.SEL.2023.001,OD.SEL.2023.328,MACROINVERTEBRATES,
DPN.SEL.2023.001,OD.SEL.2023.329,MACROINVERTEBRATES,
DPN.SEL.2023.001,OD.SEL.2023.330,MACROINVERTEBRATES,
DPN.SEL.2023.001,EP.SEL.2023.331,MACROINVERTEBRATES,
SHS.SEL.2023.001,EP.SEL.2023.332,MACROINVERTEBRATES,
SHS.SEL.2023.001,EP.SEL.2023.333,MACROINVERTEBRATES,
SHS.SEL.2023.001,EP.SEL.2023.334,MACROINVERTEBRATES,
SHS.SEL.2023.001,EP.SEL.2023.335,MACROINVERTEBRATES,
SHS.SEL.2023.001,EP.SEL.2023.336,MACROINVERTEBRATES,
SHS.SEL.2023.001,EP.SEL.2023.337,MACROINVERTEBRATES,
SHS.SEL.2023.001,EP.SEL.2023.338,MACROINVERTEBRATES,
SHS.SEL.2023.001,EP.SEL.2023.339,MACROINVERTEBRATES,
SHS.SEL.2023.001,OD.SEL.2023.340,MACROINVERTEBRATES,
DPN.SEL.2023.002,OD.SEL.2023.341,MACROINVERTEBRATES,
DPN.SEL.2023.002,EP.SEL.2023.342,MACROINVERTEBRATES,
DPN.SEL.2023.002,EP.SEL.2023.343,MACROINVERTEBRATES,
DPN.SEL.2023.002,OD.SEL.2023.344,MACROINVERTEBRATES,
