YSAMP,WATER,SITE_N,DATE_COL,TIME_START,TIME_END,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,EFFORT,EFFORT_UNIT,GEAR,GEAR_CODE,GEAR_CODE2,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,NUMBER_ANGLERS,ANGLER_NAMES,ANGLER_HOURS,ANGLER_TRIPS,PROJECT,COMMENTS,SHB_N,REACH_LENGTH
DPN.COM.2023.001,COM,COM.NS.001,,,,,,9,2023,1,1,,DPN,,,,,,,,,,,,,,,,,,
DPN.COM.2023.002,COM,COM.NS.005,,,,,,9,2023,1,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.GNL.2023.002,GNL,Dock,,,,,,9,2023,1,1,,SHS,,,,,,,,,,,,,,,,,,
DPN.REL.2023.002,Rondaxe,5A,6/19/2023,,,,,6,2023,2,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.REL.2023.002,Rondaxe,5A,6/19/2023,,,,,6,2023,3,1,,SHS,,,,,,,,,,,,,,,,,,
DPN.REL.2023.001,Rondaxe,1A,6/19/2023,,,,,6,2023,1,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.REL.2023.003,Rondaxe,5A,6/19/2023,,,,,6,2023,4,1,,SHS,,,,,,,,,,,,,,,,,,
SHS.REL.2023.004,Rondaxe,1A,6/19/2023,,,,,6,2023,2,1,,SHS,this is dsamp 2 but I labled the others out of order for ysame so fix later or leave them all as is,,,,,,,,,,,,,,,,,
SHS.REL.2023.001,Rondaxe,1A,6/19/2023,,,,,6,2023,1,1,,SHS,,,,,,,,,,,,,,,,,,
SHS.UCL.2023.001,Upper Cascade Lake ,1A,6/8/2023,,,,,6,2023,1,1,,SHS,,,,,,,,,,,,,,,,,,
SHS.UCL.2023.002,Upper Cascade Lake ,1A,6/8/2023,,,,,6,2023,2,1,,SHS,,,,,,,,,,,,,,,,,,
SHS.UCL.2023.003,Upper Cascade Lake ,1A,6/8/2023,,,,,6,2023,3,1,,SHS,,,,,,,,,,,,,,,,,,
SHS.UCL.2023.004,Upper Cascade Lake ,Outlet,6/8/2023,,,,,6,2023,1,1,,SHS,,,,,,,,,,,,,,,,,,
SHS.UCL.2023.005,Upper Cascade Lake ,Outlet,6/8/2023,,,,,6,2023,2,1,,SHS,,,,,,,,,,,,,,,,,,
SHS.UCL.2023.006,Upper Cascade Lake ,Outlet,6/8/2023,,,,,6,2023,3,1,,SHS,,,,,,,,,,,,,,,,,,
DPN.UCL.2023.001,Upper Cascade Lake ,1A,6/8/2023,,,,,6,2023,1,1,,DPN,in the sheet this was origionally labled as outlet but I think that was a mistake because I pulled the outlet sapmles out of the bag the day after. So it must be 1A,,,,,,,,,,,,,,,,,
DPN.UCL.2023.002,Upper Cascade Lake ,Outlet,6/8/2023,,,,,6,2023,2,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.HTL.2023.001,Heart Lake,Outlet,6/13/2023,,,,,6,2023,1,1,,SHS,,,,,,,,,,,,,,,,,,
SHS.HTL.2023.002,Heart Lake,Outlet,6/13/2023,,,,,6,2023,2,1,,SHS,,,,,,,,,,,,,,,,,,
DPN.HTL.2023.003X,Heart Lake,1A,6/13/2023,,,,,6,2023,2,1,,SHS,I think that this got compiled with the bottom one but it was just a vial of entirely heptageneiidae and one snail so I don't think it could go with the 003 above it in the sheet. So call it shs. ,,,,,,,,,,,,,,,,,
DPN.HTL.2023.003,Heart Lake,1A,6/13/2023,,,,,6,2023,3,1,,DPN,Sweep # 2 vial,,,,,,,,,,,,,,,,,
DPN.HTL.2023.004,Heart Lake ,Outlet,6/13/2023,,,,,6,2023,4,1,,DPN,Sweep # 1 vial for outlet. Not sure maybe above DPN were sweep 2 for the outlet that got split up ,,,,,,,,,,,,,,,,,
DPN.HTL.2023.005,Heart Lake,1A,6/13/2023,,,,,6,2023,5,1,,DPN,,,,,,,,,,,,,,,,,,
DPN.HTL.2023.006,Heart Lake,1A,6/13/2023,,,,,6,2023,5,1,,SHS,search 1,,,,,,,,,,,,,,,,,
DPN.SEL.2023.001,Sagamore Lake,5A,6/20/2023,,,,,6,2023,1,1,,DPN,Sweep 1 site 5A,,,,,,,,,,,,,,,,,
SHS.SEL.2023.001,Sagamore Lake,5A,6/20/2023,,,,,6,2023,1,1,,SHS,10min search site 5A rep 1,,,,,,,,,,,,,,,,,
DPN.SEL.2023.002,Sagamore Lake,2A,6/20/2023,,,,,6,2023,2,1,,DPN,Sweep 1 site 2A,,,,,,,,,,,,,,,,,
DPN.SEL.2023.003,Sagamore Lake,2A,6/20/2023,,,,,6,2023,3,1,,DPN,DPN sweep site 2A sweep 2,,,,,,,,,,,,,,,,,
SHS.SEL.2023.002,Sagamore Lake,2A,6/20/2023,,,,,6,2023,2,1,,SHS,10min search site 2A rep 1,,,,,,,,,,,,,,,,,
SHS.SEL.2023.003,Sagamore Lake,2A,6/20/2023,,,,,6,2023,3,1,,SHS,10min search rep 2 2A,,,,,,,,,,,,,,,,,
SHS.ECL.2023.002,East Copperas Lake,3A,6/27/2023,,,,,6,2023,2,1,,SHS,site 3A search 2,,,,,,,,,,,,,,,,,
SHS.ECL.2023.001,East Copperas Lake,3A,6/27/2023,,,,,6,2023,1,1,,SHS,site 3A search 1,,,,,,,,,,,,,,,,,
SHS.ECL.2023.003,East Copperas Lake,1A,6/27/2023,,,,,6,2023,3,1,,SHS,site 1A search 1,,,,,,,,,,,,,,,,,
SHS.ECL.2023.004,East Copperas Lake,1A,6/27/2023,,,,,6,2023,4,1,,SHS,site 1A search 2,,,,,,,,,,,,,,,,,
DPN.ECL.2023.001,East Copperas Lake,1A,6/27/2023,,,,,6,2023,1,1,,DPN,Site 1A search 1,,,,,,,,,,,,,,,,,
DPN.ECL.2023.002,East Copperas Lake,1A,6/27/2023,,,,,6,2023,2,1,,DPN,Site 1A search 2,,,,,,,,,,,,,,,,,
DPN.ECL.2023.003,East Copperas Lake,3A,6/27/2023,,,,,6,2023,3,1,,DPN,Site 3A search 1,,,,,,,,,,,,,,,,,
DPN.ECL.2023.004,East Copperas Lake,3A,6/27/2023,,,,,6,2023,4,1,,DPN,Site 3A search 2,,,,,,,,,,,,,,,,,
SHS.MSL.2023.002,MOSS,MOSS.002,,,,,,5,2023,3,1,,SHS,,,,,,,,,,,,,,,,,,
DPN.MSL.2023.002,MOSS,MOSS.002,,,,,,5,2023,3,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.LCL.2023.001,Little Clear Lake,1A,6/22/2023,,,,,6,2023,1,1,,SHS,10min search 1A doesn't look like there is a search for the other site ,,,,,,,,,,,,,,,,,
DPN.LCL.2023.001,Little Clear Lake,1A,6/22/2023,,,,,6,2023,1,1,,DPN,,,,,,,,,,,,,,,,,,
DPN.LCL.2023.002,Little Clear Lake,4A,6/22/2023,,,,,6,2023,2,1,,DPN,,,,,,,,,,,,,,,,,,
DPN.LCL.2023.003,Little Clear Lake,4A,6/22/2023,,,,,6,2023,3,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.DTL.2023.002,Dart Lake ,2,,,,,,5,2023,2,,,DPN,SHS 002 Dart lake ,,,,,,,,,,,,,,,,,
DPN.DTL.2023.002,Dart Lake ,2,,,,,,5,2023,2,,,DPN,DPN 002 Dart lake,,,,,,,,,,,,,,,,,
DPN.DTL.2023.004,Dart Lake,4,,,,,,5,2023,4,1,,DPN,DPN 004 Dart Lake,,,,,,,,,,,,,,,,,
SHS.DTL.2023.004,Dart Lake,4,,,,,,5,2023,4,1,,SHS,SHS 004 Dart Lake,,,,,,,,,,,,,,,,,
SHS.DTL.2023.001,Dart Lake,1,,,,,,5,2023,1,1,,SHS,SHS 001 Dart Lake,,,,,,,,,,,,,,,,,
DPN.DTL.2023.001,Dart Lake,1,,,,,,5,2023,1,1,,DPN,DPN 001 Dart Lake,,,,,,,,,,,,,,,,,
DPN.DTL.2023.003,Dart Lake,3,,,,,,5,2023,3,1,,DPN,DPN 003 Dart Lake,,,,,,,,,,,,,,,,,
SHS.DTL.2023.005,Dart Lake,3,,,,,,5,2023,5,1,,SHS,extra search at DPN site 3,,,,,,,,,,,,,,,,,
SHS.MSL.2023.003,MOSS,MOSS.001,,,,,,5,2023,1,1,,SHS,Moss SHS site 001,,,,,,,,,,,,,,,,,
DPN.MSL.2023.003,MOSS,MOSS.001,,,,,,5,2023,1,1,,DPN,MOSS DPN site 001,,,,,,,,,,,,,,,,,
SHS.MSL.2023.005,MOSS,MOSS.004,,,,,,5,2023,5,1,,SHS,snails extra site 4 moss,,,,,,,,,,,,,,,,,
SHS.MSL.2023.004,MOSS,MOSS.004,,,,,,5,2023,4,1,,SHS,moss SHS site 4 ,,,,,,,,,,,,,,,,,
DPN.MSL.2023.004,MOSS,MOSS.004,,,,,,5,2023,4,1,,DPN,MOSS dpn site 4,,,,,,,,,,,,,,,,,
SHS.MSL.2023.006,MOSS,Moss.outlet,,,,,26,9,2023,2,1,,SHS,Moss shs outlet rep 2,,,,,,,,,,,,,,,,,
DPN.MSL.2023.005,MOSS,Moss.outlet,,,,,26,9,2023,1,1,,DPN,moss sweep A outlet,,,,,,,,,,,,,,,,,
DPN.MSL.2023.006,MOSS,Moss.outlet,,,,,26,9,2023,2,1,,DPN,Moss site outlet sweep 2 but I don’t see another tube labled sweep b but this just has one bug,,,,,,,,,,,,,,,,,
DPN.MSL.2023.007,MOSS,Moss.outlet,,,,,26,9,2023,3,1,,DPN,Moss site sweep but unclear which rep,,,,,,,,,,,,,,,,,
SHS.MSL.2023.007,MOSS,Moss.outlet,,,,,26,9,2023,1,1,,SHS,SHS outlet rep A moss,,,,,,,,,,,,,,,,,
DPN.MSL.2023.008,MOSS,Moss.2A,,,,,26,9,2023,3,1,,DPN,moss sweep rep a site 2a,,,,,,,,,,,,,,,,,
SHS.MSL.2023.008,MOSS,Moss.2A,,,,,26,9,2023,4,1,,SHS,SHS rep A moss site 2A,,,,,,,,,,,,,,,,,
SHS.MSL.2023.009,MOSS,Moss.2A,,,,,26,9,2023,5,1,,SHS,SHS rep B moss site 2A,,,,,,,,,,,,,,,,,
DPN.MSL.2023.009,MOSS,Moss.2A,,,,,26,9,2023,4,1,,DPN,DPN rep 2 moss site 2A,,,,,,,,,,,,,,,,,
DPN.DTL.2023.005,Dart Lake ,Not listed,,,,,22,9,2023,1,1,,DPN,dart lake sept. sweep unlabled,,,,,,,,,,,,,,,,,
SHS.DTL.2023.007,Dart Lake,Not Listed,,,,,22,9,2023,3,1,,SHS,Dart lake sept. search 2,,,,,,,,,,,,,,,,,
DPN.DTL.2023.006,Dart Lake,Not Listed ,,,,,22,9,2023,2,1,,DPN,Dart Lake sept sweep unlabled ,,,,,,,,,,,,,,,,,
SHS.DTL.2023.006,Dart Lake,Not Listed,,,,,22,9,2023,1,1,,SHS,Dart Lake Search 1,,,,,,,,,,,,,,,,,
DPN.DTL.2023.007,Dart Lake,1A,,,,,22,9,2023,3,1,,DPN,Dart sweep 1 site 1A sept,,,,,,,,,,,,,,,,,
DPN.DTL.2023.008,Dart Lake ,1A,,,,,22,9,2023,4,1,,DPN,Dart sweep 2 site 1A sept,,,,,,,,,,,,,,,,,
SHS.DTL.2023.008,Dart Lake ,1A ,,,,,22,9,2023,4,1,,SHS,Dart shs site 1a search 2,,,,,,,,,,,,,,,,,
DPN.HTL.2023.007,Heart Lake,Outlet,9/5/2023,,,,,9,2023,1,1,,DPN,sweep 1 outlet september 5th heart lake,,,,,,,,,,,,,,,,,
DPN.HTL.2023.008,Heart Lake,Outlet,9/5/2023,,,,,9,2023,2,1,,DPN,sweep 2 outlet september 5th heart lake,,,,,,,,,,,,,,,,,
DPN.HTL.2023.009,Heart Lake,Outlet,9/5/2023,,,,,9,2023,1,1,,SHS,search 10min outlet setpetmber search 1,,,,,,,,,,,,,,,,,
DPN.HTL.2023.010,Heart Lake,Outlet,9/5/2023,,,,,9,2023,2,1,,SHS,search 10min outlet setpetmber search 2,,,,,,,,,,,,,,,,,
SHS.HTL.2023.011,Heart Lake,1A,9/5/2023,,,,,9,2023,3,1,,SHS,search 10min 1A setpetmber search 1,,,,,,,,,,,,,,,,,
SHS.HTL.2023.012,Heart Lake,1A,9/5/2023,,,,,9,2023,4,1,,SHS,SHS 2 site 1A HTL sept,,,,,,,,,,,,,,,,,
DPN.HTL.2023.013,Heart Lake,1A,9/5/2023,,,,,9,2023,3,1,,DPN,DPN 1 site 1A HTL sept,,,,,,,,,,,,,,,,,
DPN.HTL.2023.014,Heart Lake,1A,9/5/2023,,,,,9,2023,4,1,,DPN,DPN 2 site 1A HTL sept,,,,,,,,,,,,,,,,,
DPN.UCL.2023.003,Upper Cascade,1A,9/6/2023,,,,,9,2023,1,1,,DPN,,,,,,,,,,,,,,,,,,
SHS.UCL.2023.007,Upper Cascade,1A,9/6/2023,,,,,9,2023,1,1,,SHS,SHS search 1 site 1A sept upper cascade,,,,,,,,,,,,,,,,,
DPN.UCL.2023.004,Upper Cascade,Outlet,9/6/2023,,,,,9,2023,2,1,,DPN,sweep outlet site 1A uppper cascade sept,,,,,,,,,,,,,,,,,
SHS.UCL.2023.008,Upper Cascade,Outlet,9/6/2023,,,,,9,2023,2,1,,SHS,SHS outlet site search 1 september,,,,,,,,,,,,,,,,,
SHS.UCL.2023.009,Upper Cascade,Outlet,9/6/2023,,,,,9,2023,3,1,,SHS,SHS outlet site search 2 september,,,,,,,,,,,,,,,,,
SHS.LCL.2023.002,Little Clear ,1A,9/12/2023,,,,,9,2023,1,1,,SHS,search 1 little clear site 1A 9/12/23,,,,,,,,,,,,,,,,,
DPN.LCL.2023.004,Little Clear ,1A,9/12/2023,,,,,9,2023,1,1,,DPN,sweep 1 site 1A 9/12/23,,,,,,,,,,,,,,,,,
DPN.LCL.2023.005,Little Clear ,3A,9/12/2023,,,,,9,2023,2,1,,DPN,Sweep 1 site 3A 9/12/23,,,,,,,,,,,,,,,,,
DPN.ECL.2023.005,East Copperas Lake,1A,9/15/2023,,,,,9,2023,1,1,,DPN,east copperas site 1A sweep 1,,,,,,,,,,,,,,,,,
DPN.ECL.2023.006,East Copperas Lake,1A,9/15/2023,,,,,9,2023,2,1,,DPN,east copperas site 1A sweep2,,,,,,,,,,,,,,,,,
DPN.ECL.2023.007,East Copperas Lake,3A,9/15/2023,,,,,9,2023,3,1,,DPN,east copperas site 3A sweep 1,,,,,,,,,,,,,,,,,
DPN.ECL.2023.008,East Copperas Lake,3A,9/15/2023,,,,,9,2023,4,1,,DPN,east copperas site 3A sweep 2,,,,,,,,,,,,,,,,,
SHS.ECL.2023.005,East Copperas Lake,3A,9/15/2023,,,,,9,2023,1,1,,SHS,east copperas site 3A search 1,,,,,,,,,,,,,,,,,
SHS.SEL.2023.004,Sagamore Lake,Outlet,10/3/2023,,,,,10,2023,1,1,,SHS,10min search rep A outlet sagamore sept,,,,,,,,,,,,,,,,,
DPN.SEL.2023.004,Sagamore Lake,Outlet,10/3/2023,,,,,10,2023,1,1,,DPN,sweep 1 outlet september sagamore,,,,,,,,,,,,,,,,,
SHS.SEL.2023.005,Sagamore Lake,Outlet,10/3/2023,,,,,10,2023,2,1,,SHS,search rep b sagamore outlet,,,,,,,,,,,,,,,,,
DPN.SEL.2023.005,Sagamore Lake,Outlet,10/3/2023,,,,,10,2023,2,1,,DPN,sweep 2 outlet september sagamore,,,,,,,,,,,,,,,,,
DPN.SEL.2023.006,Sagamore,9,10/3/2023,,,,,10,2023,3,1,,DPN,sweep A site (they didn't write it but I assume 9 because similar pen) sagamore october,,,,,,,,,,,,,,,,,
DPN.SEL.2023.007,Sagamore,9,10/3/2023,,,,,10,2023,4,1,,DPN,sweep B same not as above,,,,,,,,,,,,,,,,,
DPN.SEL.2023.008,Sagamore,9,10/3/2023,,,,,10,2023,NA,NA,,NA,Not labled ,,,,,,,,,,,,,,,,,
SHS.SEL.2023.006,Sagamore,9,10/3/2023,,,,,10,2023,3,1,,SHS,site 9 october search A,,,,,,,,,,,,,,,,,
SHS.SEL.2023.007,Sagamore,9,10/3/2023,,,,,10,2023,4,1,,SHS,site 9 october search B,,,,,,,,,,,,,,,,,
DPN.REL.2023.003,Rondaxe,5A,9/23/2023,,,,,9,2023,1,1,,DPN,sweep rep a site 5A sept,,,,,,,,,,,,,,,,,
DPN.REL.2023.004,Rondaxe,5A,9/23/2023,,,,,9,2023,2,1,,DPN,sweep rep B site 5A sept,,,,,,,,,,,,,,,,,
DPN.REL.2023.005,Rondaxe,5A,9/23/2023,,,,,9,2023,3,1,,DPN,sweep B site 5A rondaxe september,,,,,,,,,,,,,,,,,
SHS.REL.2023.005,Rondaxe,5A,9/23/2023,,,,,9,2023,1,1,,SHS,search A site 5 rondaxe sept,,,,,,,,,,,,,,,,,
SHS.REL.2023.006,Rondaxe,5A,9/23/2023,,,,,9,2023,2,1,,SHS,search B site 5 rondaxe september,,,,,,,,,,,,,,,,,
DPN.REL.2023.006,Rondaxe,2A,9/23/2023,,,,,9,2023,4,1,,DPN,Rondaxe site 2A sweet rep A sept,,,,,,,,,,,,,,,,,
DPN.REL.2023.007,Rondaxe,2A,9/23/2023,,,,,9,2023,5,1,,DPN,Rondaxe site 2A sweet rep A sept,,,,,,,,,,,,,,,,,
DPN.REL.2023.008,Rondaxe,2A,9/23/2023,,,,,9,2023,6,1,,DPN,Rondaxe Sweep rep B site 2 sept,,,,,,,,,,,,,,,,,
SHS.REL.2023.007,Rondaxe,2A,9/23/2023,,,,,9,2023,3,1,,SHS,Rondaxe search A site 2A september,,,,,,,,,,,,,,,,,
SHS.REL.2023.008,Rondaxe,2A,9/23/2023,,,,,9,2023,4,1,,SHS,Rondaxe search B site 2A september,,,,,,,,,,,,,,,,,
