YSAMP_N,FISH_N,Sample_ID,AIREY_N,GEN_N,ORDER,FAMILY,GENUS,SPECIES,TAXA,CODE,LENGTH,WEIGHT,OTOLITH.WEIGHT,SIA_PREPPED,X,FIN,BLOOD,GUT,HEAD,OTOLITH,MAXILLA,OPERCULAR,TISS_SAMP,DRY_W,GONAD,DISEASE,PIC,ARCH,ARCH_N,REMOVED,DEAD,MOLT_S,PANEL_N,COMMENTS.x,OLD_YSAMP_N,STATUS,TAG_CLAR,TAG_MIGR,TAG_FRAG,TAG_CLAR_SHRD,TAG_MIGR_SHRD,TAG_FRAG_SHRD,STK_N,ORIGIN,STR,YR_CL,AGE,AGE_TECH,AGED_BY,X.1,WATER,SITE_N,DATE_SET,DATE_COL,TIME_START,TIME_END,SEASON,DAY_N,MONTH,YEAR,DSAMP_N,EFFORT,EFFORT_UNIT,GEAR,GEAR_CODE,GEAR_CODE2,NET_N,NET_LEN,NET_HGT,TEMP_SAMP,CONDUCTIVITY,DEPTH,DEPTH_MAX,DEPTH_MIN,CL_COVER,DRIVER,CREW,NUMBER_ANGLERS,ANGLER_NAMES,ANGLER_HOURS,ANGLER_TRIPS,ANGLER_LOC,PROJECT,COMMENTS.y,SHB_N,REACH_LENGTH,COMMENTS.1,RUN,sample_weight_mg,N2_AMP,N_percent,d15N,CO2_AMP,C_percent,d13C,CO2_Area,d18OVPDB
MWT.WFL.2021.019,BB.WFL.091021.MWT.006,MA-21-011,11,,SILURIFORMES,ICTALURIDAE,AMEIURUS ,NEBULOSUS,BROWN BULLHEAD,BB,174,62.33,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3B,9/9/2021,9/10/2021,15:30,12:40,FALL,10,9,2021,19,21.17,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.11,"5,256",14.38,8.3,"2,492",47.11,-27.84,,NA
MWT.WFL.2021.021,WS.WFL.091021.MWT.004,MA-21-012,12,,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,COMMERSONII,WHITE SUCKER,WS,172,45,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3C,9/9/2021,9/10/2021,15:30,13:00,FALL,10,9,2021,21,21.5,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.035,"4,773",14.02,7.86,"2,278",46.08,-30.61,,NA
MWT.WFL.2021.032,CLM.WFL.091121.MWT.003,MA-21-013,13,,CYPRINIFORMES ,LEUSCIDAE,EXOGLOSSUM,MAXILLINGUA,CUTLIPS MINNOW,CLM,86,7.7,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,2A,9/10/2021,9/11/2021,10:36,11:41,FALL,11,9,2021,9,25.08,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.03,"4,818",14.22,9.01,"2,335",47.46,-26.41,,NA
MWT.WFL.2021.032,CC.WFL.091121.MWT.002,MA-21-014,14,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,94,6.3,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,2A,9/10/2021,9/11/2021,10:36,11:41,FALL,11,9,2021,9,25.08,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MWT.WFL.2021.032,CC.WFL.091121.MWT.001,MA-21-015,15,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,87,4.5,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,2A,9/10/2021,9/11/2021,10:36,11:41,FALL,11,9,2021,9,25.08,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.095,"5,153",14.27,7.1,"2,417",46.21,-25.75,,NA
MWT.WFL.2021.049,BND.WFL.091121.MWT.001,MA-21-016,16,,CYPRINOFORMES,LEUCISCIDAE,RHINICHTHYS,ATRATULUS,E. BLACKNOSE DACE,BND,62,2.3,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3C,9/10/2021,9/11/2021,13:00,13:30,FALL,11,9,2021,26,24.5,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,0.977,"4,529",14.15,8.08,"2,197",46.91,-30.42,,NA
MWT.WFL.2021.043,CLM.WFL.091121.MWT.005,MA-21-017,17,,CYPRINIFORMES ,LEUSCIDAE,EXOGLOSSUM,MAXILLINGUA,CUTLIPS MINNOW,CLM,128,25.9,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/10/2021,9/11/2021,12:30,12:51,FALL,11,9,2021,20,24.35,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.076,"5,078",14.32,8.13,"2,408",46.77,-26.94,,NA
MWT.WFL.2021.043,CLM.WFL.091121.MWT.004,MA-21-018,18,,CYPRINIFORMES ,LEUSCIDAE,EXOGLOSSUM,MAXILLINGUA,CUTLIPS MINNOW,CLM,76,4,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/10/2021,9/11/2021,12:30,12:51,FALL,11,9,2021,20,24.35,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.085,"5,040",14.17,8.01,"2,436",47.19,-25.86,,NA
MWT.WFL.2021.045,CLM.WFL.091121.MWT.007,MA-21-019,19,,CYPRINIFORMES ,LEUSCIDAE,EXOGLOSSUM,MAXILLINGUA,CUTLIPS MINNOW,CLM,76,3.3,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/10/2021,9/11/2021,12:30,12:51,FALL,11,9,2021,22,24.35,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.099,"5,123",14.1,8.09,"2,446",46.46,-25.74,,NA
MWT.WFL.2021.045,CC.WFL.091121.MWT.004,MA-21-020,20,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,86,5.9,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/10/2021,9/11/2021,12:30,12:51,FALL,11,9,2021,22,24.35,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.073,"4,735",13.54,8.24,"2,284",44.72,-27.21,,NA
MWT.WFL.2021.043,CLM.WFL.091121.MWT.006,MA-21-021,21,,CYPRINIFORMES ,LEUSCIDAE,EXOGLOSSUM,MAXILLINGUA,CUTLIPS MINNOW,CLM,103,13.3,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/10/2021,9/11/2021,12:30,12:51,FALL,11,9,2021,20,24.35,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.097,"5,244",14.55,8.48,"2,466",47.1,-26.94,,NA
MWT.WFL.2021.049,WS.WFL.091121.MWT.001,MA-21-022,22,,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,COMMERSONII,WHITE SUCKER,WS,166,43.2,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3C,9/10/2021,9/11/2021,13:00,13:30,FALL,11,9,2021,26,24.5,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,0.969,"4,338",13.69,7.96,"2,217",47.71,-26.47,,NA
MWT.WFL.2021.044,CC.WFL.091121.MWT.003,MA-21-023,23,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,108,10.5,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/10/2021,9/11/2021,12:30,12:51,FALL,11,9,2021,21,24.35,HOURS,MWT,MPT,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.053,"4,943",14.34,7.63,"2,332",46.38,-25.95,,NA
MWT.WFL.2021.045,CC.WFL.091121.MWT.005,MA-21-024,24,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,92,6.8,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/10/2021,9/11/2021,12:30,12:51,FALL,11,9,2021,22,24.35,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.06,"5,010",14.41,8.68,"2,403",47.53,-27.17,,NA
MWT.WFL.2021.049,CLM.WFL.091121.MWT.008,MA-21-025,25,,CYPRINIFORMES ,LEUSCIDAE,EXOGLOSSUM,MAXILLINGUA,CUTLIPS MINNOW,CLM,73,4.9,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3C,9/10/2021,9/11/2021,13:00,13:30,FALL,11,9,2021,26,24.5,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.05,"4,948",14.42,8.69,"2,372",47.41,-25.82,,NA
MWT.WFL.2021.056,CLM.WFL.091221.MWT.001,MA-21-026,26,,CYPRINIFORMES ,LEUSCIDAE,EXOGLOSSUM,MAXILLINGUA,CUTLIPS MINNOW,CLM,NA,0.6,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/11/2021,9/12/2021,12:30,10:21,FALL,12,9,2021,6,21.85,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.027,"4,812",14.27,8.8,"2,274",46.24,-27.16,,NA
MWT.WFL.2021.054,CC.WFL.091221.MWT.004,MA-21-027,27,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,NA,4,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3B,9/11/2021,9/12/2021,12:40,10:00,FALL,12,9,2021,4,21.33,HOURS,MWT,MPT,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.096,"5,072",14.09,7.66,"2,450",46.9,-27.37,,NA
MWT.WFL.2021.056,WS.WFL.091221.MWT.001,MA-21-028,28,,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,COMMERSONII,WHITE SUCKER,WS,NA,46.8,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3A,9/11/2021,9/12/2021,12:30,10:21,FALL,12,9,2021,6,21.85,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.031,"4,848",14.36,7.64,"2,309",46.97,-24.56,,NA
MWT.WFL.2021.053,CC.WFL.091221.MWT.001,MA-21-029,29,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,NA,4.3,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3B,9/11/2021,9/12/2021,12:40,10:00,FALL,12,9,2021,3,21.33,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.027,"4,643",13.81,8.26,"2,270",46.2,-27.35,,NA
MWT.WFL.2021.053,CC.WFL.091221.MWT.002,MA-21-030,30,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,NA,12.1,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3B,9/11/2021,9/12/2021,12:40,10:00,FALL,12,9,2021,3,21.33,HOURS,MWT,MESH,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,0.944,"4,332",14.14,8.47,"2,078",46.01,-27.09,,NA
MWT.WFL.2021.076,WS.WFL.091221.MWT.002,MA-21-031,31,,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,COMMERSONII,WHITE SUCKER,WS,NA,111.9,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,1A,9/11/2021,9/12/2021,10:45,12:10,FALL,12,9,2021,26,25.42,HOURS,MWT,MPT,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.049,"4,913",14.38,8.83,"2,337",46.9,-28.52,,NA
MWT.WFL.2021.054,CC.WFL.091221.MWT.003,MA-21-032,32,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,NA,5.4,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,WFL,3B,9/11/2021,9/12/2021,12:40,10:00,FALL,12,9,2021,4,21.33,HOURS,MWT,MPT,,"MEA, DAW, NSL",,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.078,"5,048",14.35,9.02,"2,433",47.49,-29.22,,NA
MWT.HRM.2021.035,CC.HRM.BW2.092621.MWT.017,MA-21-034,34,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,98,7.5,,NA,,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HRM_BW2,1,9/26/2021,9/26/2021,10:00,13:50,FALL,26,9,2021,4,3.83,HOURS,MWT,MMT,DFB,MEA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,0.993,"4,585",14.21,8.24,"2,211",46.66,-30.49,,NA
MWT.HRM.2021.035,CC.HRM.BW2.092621.MWT.013,MA-21-035,35,,CYPRINIFORMES,LEUCISCIDAE,SEMOTILUS ,ATROMACULATUS ,CREEK CHUB,CC,92,6,,NA,,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HRM_BW2,1,9/26/2021,9/26/2021,10:00,13:50,FALL,26,9,2021,4,3.83,HOURS,MWT,MMT,DFB,MEA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,,3,1.048,"4,941",14.51,9.02,"2,372",47.59,-30.01,,NA
