POND #,PONDNAME,DATE,"LONG (NAD83,DD)","LAT (NAD83,DD)",SO4 (mg L-1),NO3 (mg L-1),Cl (mg L-1),F (mg L-1),ANC (µeq L-1),DIC (mg L-1),DOC (mg L-1),TOTAL P1 (mg L-1),TOTAL P2 (mg L-1),SIO2 (mg L-1),Ca (mg L-1),Mg (mg L-1),Na (mg L-1),K (mg L-1),NH4 (mg L-1),TDAl (µg L-1),TAl (µg L-1),Fe (mg L-1),Mn (mg L-1),Pb (mg L-1),Zn (mg L-1),FIELDPH,LAB_pH,AIR_EQ_pH,TRUCOLOR (PtCo),SCONDUCT (µmhos cm-1)
020045,MERRILL POND,7/17/1985,74.01986944,44.51449167,5.59,0,0.57,0.053,532,7.02,4,0.017,0.017,8.5,8.44,2.43,1.2,0.47,0,,39,0.071,0.015,0.001,0.008,7.34,7.77,7.84,30,66.2
020045A,DEL (GOLDSMITH) POND,7/15/1986,73.94625556,44.62004444,4.76,0.01,0.26,0.062,276.1,,6.4,0.025,0.028,5.8,3.79,1.54,1.25,0.3,0,69,,0.14,0.012,0,0.001,6.15,6.86,7.51,40,42.1
020046,MOUNTAIN POND,7/21/1986,74.07515,44.54421667,2.49,0,0.15,0.012,-15.6,0.44,2.5,0.012,0.022,0,0.35,0.16,0.04,0.4,0,5,,0.008,0.049,0,0.006,4.72,4.71,4.73,5,10.5
020046A,LINE POND,7/21/1986,74.07987222,44.54393889,2.54,0,0.14,0.013,-16,0.49,1.9,0.008,0.018,0,0.37,0.11,0.04,0.23,0,7,,0.033,0.032,0,0.004,4.67,4.66,4.68,5,13.6
020048,LOON LAKE,8/15/1985,74.07820556,44.56005,4.58,,0.77,0.052,200.6,2.82,3.3,0.004,0.004,0.6,3.74,1.03,0.81,0.33,0,,9,0.012,0.034,0.001,0.003,5.72,7.6,7.36,5,35
020049,LOWER INMAN POND,7/17/1985,74.09209444,44.56810556,4.09,0,0.2,0.035,29.8,0.71,4.7,0.019,0.024,0.2,1.83,0.33,0.4,0.26,0,,40,0.083,0.013,0,0.003,6,6.25,6.35,20,16.3
020051,BASS LAKE,7/21/1986,74.06737222,44.56643611,0.78,0.04,0.34,0.013,5.6,0.13,6.6,0.017,0.015,0,0.65,0.15,0.17,0.13,0.01,22,,0.299,0.02,0,0.001,5.35,5.44,5.37,30,7.2
020052,MUD POND,8/13/1986,74.08598333,44.53671667,4.86,0,0.37,0.113,310,4.29,7.3,0.011,0.009,6.5,5.09,1.9,0.92,0.39,0.01,47,,0.329,0.059,0,0.002,6.52,7.09,7.51,50,44
020055,LAKE KUSHAQUA,7/17/1984,74.10320556,44.52755,5.25,0,0.35,0.067,258.1,2.72,5.7,0.012,0.011,4.9,4.9,1.49,0.98,0.37,0,23,,0.117,0.002,,,6.12,7.5,7.42,35,42.3
020056,CHUB POND,7/18/1984,74.10098333,44.52338333,5.74,0,0.26,0.032,146,1.66,5.1,0.021,0.022,4.9,4.11,0.52,0.4,0.37,0,30,,0.045,0.013,,,6.71,6.81,7.1,25,32.7
020057,MOUNTAIN POND,7/8/1985,74.132375,44.52699444,4.66,0,0.1,0.177,153.6,2.28,8.6,0.027,,0.5,3.39,1.03,0.64,0.09,0,,83,0.057,0.005,0,0.001,6.56,6.76,7.1,40,
020058,LITTLE HOPE POND,7/18/1984,74.124875,44.51588333,5.08,0,0.22,0.055,-27.7,1.3,13.2,0.001,0,3.2,2.18,0.51,0.51,0.27,0,304,,0.365,0.038,,,5.03,5,5.15,140,24
020059,BIG HOPE POND,7/18/1984,74.12459722,44.51199444,5.21,0,0.31,0.056,26.2,0.14,7,0.007,0.007,0.2,2.01,0.52,0.51,0.31,0,87,,0.024,0.02,,,5.86,5.74,5.68,35,21.7
020060,UNNAMED POND,7/16/1985,74.12848611,44.51032778,4.94,0,0.34,0.06,21,0.51,6.1,0.025,0.026,0,1.74,0.48,0.48,0.36,0.03,,94,0.068,0.026,0,0.022,5.51,5.55,5.69,25,19.5
020061,BUCK POND,7/18/1984,74.11431944,44.50588333,4.63,0,0.26,0.046,223.1,2.59,4.2,0.013,0.013,2.7,4.34,1.06,0.71,0.35,0,5,,0.053,0.002,,,6.99,7.06,7.14,20,37.5
020062,SQUARE POND,8/7/1986,74.14126389,44.49116389,3.88,0,0.24,0.023,269.3,3.52,2.5,0.004,0.007,0.4,3.83,1.34,0.74,0.35,0,6,,0.008,0,0,0,7.04,7.53,7.49,5,39.2
020064,OREGON POND,8/7/1986,74.12070833,44.49560556,2.16,0,0.5,0.008,18,0.25,5.4,0.006,0.009,0,0.93,0.2,0.27,0.27,0,1,,0.02,0.022,0,0.014,6.58,6.14,5.98,15,11.5
020065,RAINBOW LAKE,7/18/1984,74.13431944,44.48866111,5.08,0,0.44,0.048,173.8,2.35,5.2,,,2.2,4.26,1.33,0.92,0.42,0,5,,0.116,0.001,,,6.79,6.66,7.23,25,38
020066,RAINBOW LAKE INLET,8/7/1986,74.17654444,44.47060833,3.94,0,0.31,0.039,205.8,2.5,10.6,0.029,0.025,2.9,3.6,1.18,0.87,0.23,0,58,,0.318,0.006,0.001,0.002,6.71,7.01,7.23,90,33.5
020067,UNNAMED POND (GRANDMA'S),8/11/1986,74.17932222,44.46199722,3.39,0,0.37,0.013,-61.9,1.42,9.1,0.013,0.017,0.3,0.24,0.15,0.18,0.35,0,48,,0.312,0.018,0,0.007,4.22,4.26,4.24,80,31.6
020068,UNNAMED POND,7/11/1985,74.17737778,44.47644167,6.06,0,0.26,0.034,-110.5,1.33,16.2,0.034,0.028,0,0.62,0.22,0.2,0.33,,,90,0.175,0.032,0.004,0.008,4.03,4.04,3.99,220,44.7
020069,LOON POND,7/18/1984,74.16681944,44.48755278,5.63,0,0.24,0.044,-7.8,0.7,5.9,0.001,0.002,1.8,1.42,0.37,0.48,0.3,0,87,,0.278,0.022,,,4.89,4.89,4.88,60,22.6
020070,CLEAR POND,8/5/1985,74.17071111,44.48060833,6.16,0,0.33,0.054,177.7,2.44,4.3,0.008,0.016,1.6,3.5,1.12,0.85,0.46,,,8,0.034,0,0,0.001,6.2,7.42,7.25,15,33.6
020075,CRANBERRY POND,8/8/1985,73.90431111,44.47421389,6.08,0,0.17,0.046,94.2,1.2,6,0.044,,0.1,3.04,0.7,0.75,0.37,0,,33,0.042,0.002,0.002,0.006,6.21,6.99,6.92,20,26.8
020076,FRANKLIN FALLS FLOW,8/8/1985,73.97403611,44.43615833,6.24,0.08,4.64,0.052,340.4,4.22,6.2,0.04,,2.5,6.66,1.82,3.46,0.42,0,,54,0.326,0.012,0.001,0.004,6.29,7.92,7.54,35,65.1
020079,UNNAMED POND,8/11/1986,74.14654167,44.48171944,5.38,0,0.25,0.024,-128,2.08,27.6,0.028,0.033,1.1,1.19,0.3,0.3,0.21,,129,,0.328,0.018,0.001,0.012,3.96,3.98,3.96,180,54.3
020080,UNNAMED POND,7/18/1986,74.08931667,44.50421667,1.8,0,0.63,0.016,-56,0.32,14,0.041,0.096,0,0.19,0.12,0.39,0.14,0,42,,0.148,0.02,0,0.006,4.31,4.24,4.23,70,24.7
020081,MARSH POND,7/21/1986,74.04237222,44.51755,3.02,0,0.2,0.013,-55.7,0.38,11.4,0.023,0.026,0,0.42,0.2,0.16,0.28,0,60,,0.166,0.06,0,0.017,4.24,4.27,4.26,120,25.5
020083,MOOSE POND,7/18/1984,74.06598611,44.36588333,8.04,0.15,0.4,0.034,104.2,1.09,4.7,0.013,0.032,4.9,3.38,0.73,0.92,0.23,0,37,,0.043,0.002,,,5.89,6.52,6.9,20,38.3
020084,GRASS POND,7/18/1984,74.02792778,44.37671389,4.23,0,0.42,0.049,333.3,5.06,10.5,0.022,0.027,10.3,5.59,1.29,1.46,0.34,0.01,,,0.485,0.058,,,6.68,6.61,7.1,45,47.1
020085,MOODY POND,7/8/1985,74.12182222,44.32921667,4.4,0,13.22,0.047,151.6,2.03,3.1,0.013,0.014,1.5,4.53,0.87,7.57,0.35,0,,17,0.056,0.002,0,0.001,6.74,7.24,7.16,10,
020086,LAKE FLOWER,7/8/1985,74.13293333,44.32505278,5.48,0,2.86,0.049,221.2,3.15,5.6,0.017,0.018,2.6,4.76,1.16,2.29,0.31,0.02,,47,0.103,0.013,0,0,6.43,7.07,7.22,30,
020087,HEART POND,7/21/1986,74.11626667,44.31727222,1.03,0,7.12,0.035,649.8,8.72,6.5,0.022,0.021,0.2,10.84,1.26,4.14,1.82,0,10,,0.385,0.054,0,0,7.1,7.2,7.73,30,
020088,MCKENZIE POND,7/18/1984,74.07459722,44.32421667,8.21,0,0.48,0.031,86.6,0.97,2.9,0.013,0.032,2.5,3.39,0.55,0.79,0.16,0,9,,0.003,0.001,,,6.9,6.58,6.85,5,34.6
020091,RAY BROOK POND,7/8/1985,74.09265278,44.29338333,5.7,0,8.32,0.049,482.9,6.67,4.7,0.036,0.036,14,9.22,2.33,4.14,0.34,0,,102,0.294,0.027,0,0.002,6.83,7.42,7.48,40,
020094,WOLF POND,7/8/1985,74.07181944,44.29699444,5.8,0,11.87,0.029,272.4,3.71,5.1,0.031,0.025,3.1,6.66,1.18,6.46,0.56,0,,40,0.071,0.002,0.001,0.001,6.95,7.31,7.21,20,
020095,OTTER POND,7/21/1986,74.05598611,44.29560556,5.93,0.01,2.33,0.018,155.5,2.77,5.2,0.015,0.022,10.3,4.86,0.61,1.54,0.08,0,105,,0.245,0.124,0,0.003,6.27,6.62,7.04,40,39.7
020096,ALFORD POND,7/18/1984,74.03820833,44.26004722,6.71,0,0.34,0.041,45.9,0.5,8.7,0.026,0.046,0.3,2.33,0.79,0.9,0.33,0,,,0.082,0.019,,,5.76,6.37,6.47,35,26.7
020097,CAMERAS POND,7/25/1984,74.06348611,44.24449444,5.51,0,0.28,0.039,0.5,0.26,1.5,0.027,0.026,0,1.2,0.26,0.12,0.53,0,84,,0.029,0.04,,,4.93,5.04,5.03,5,17.1
020098,BIG PINE POND,7/18/1984,74.14737778,44.262275,6.52,0,0.36,0.035,73,0.81,3.1,0.082,0.212,0,2.5,0.61,0.8,0.26,0.01,12,,0.007,0.002,,,6.64,6.67,6.8,5,27
020099,OWL POND,7/18/1984,74.15265556,44.26838611,5.76,0,0.32,0.032,-7.5,0.08,2.9,0.088,0.046,0,1.33,0.29,0.32,0.36,0,58,,0.039,0.046,,,5,5.03,4.97,10,20.7
020101,LITTLE PINE POND,7/18/1984,74.15099167,44.259775,8.06,0,0.54,0.037,406.2,4.58,3.9,0.03,0.032,13,7.11,1.72,1.71,0.36,0,12,,0.065,0.002,,,6.87,7.22,7.67,30,63.2
020102,SECOND POND,7/18/1984,74.17126944,44.28338611,6.05,0,2.57,0.041,171.9,1.93,4.7,0.011,0.01,1.8,4.13,1.01,1.97,0.33,0,7,,0.04,0.003,,,6.68,7.07,7.13,20,44.9
020103,FIRST POND,7/18/1984,74.18349167,44.28866389,6.05,0,2.49,0.046,170.4,1.88,4.7,0.014,0.014,1.6,4.14,1.01,1.91,0.33,0,5,,0.047,0.013,,,6.98,6.96,7.27,20,44.2
020105,LITTLE COLBY POND,7/25/1984,74.15098889,44.32949722,6.36,0,21.15,0.07,424.2,5.68,9.1,0.016,0.043,2,9.54,2.09,9.84,0.36,,21,,0.12,0.032,,,6.81,6.93,7.53,80,
020106,LAKE COLBY,7/25/1984,74.15348889,44.33394167,9.06,0,25.6,0.067,471.6,5.38,4.9,0.02,0.012,0.1,10.16,2.19,13.03,0.6,0,3,,0.018,0.002,,,7.55,7.99,7.65,20,
020107,MCCAULEY POND,7/18/1984,74.20904722,44.35116667,5.1,0,0.43,0.05,133.3,1.25,5.7,0.015,0.013,0.3,3.27,0.83,0.91,0.18,0,11,,0.4,0.002,,,6.76,7,7.13,30,31.7
020108,LILYPAD POND,8/8/1986,74.194325,44.32310833,6.46,,0.85,0.052,255,5.97,11.7,0.022,0.024,9.8,4.93,1.6,1.48,0.27,0.02,160,,0.186,0.096,0.001,0.003,6.33,6.35,7.37,150,44.1
020111A,UNNAMED POND,8/6/1986,74.27516111,44.24061389,9.12,0.02,0.37,0.035,60.1,1.35,10,0.017,0.013,7.2,3.66,0.52,0.79,0.22,0,195,,0.271,0.028,0,0.007,5.86,6.17,6.5,70,30.2
020112,BARTLETT POND,7/24/1986,74.28294167,44.25005833,2,0,0.27,0.034,-56.7,1.64,13.7,0.026,0.025,0,0.17,0.09,0.16,0.14,0,43,,0.145,0.012,0,0.01,4.24,4.26,4.25,80,26
020113,UNNAMED POND,7/24/1986,74.29321944,44.26533611,8.16,0.1,0.51,0.044,175.6,3.42,8.8,0.026,,11.5,4.41,0.72,1.42,0.24,0.05,170,,0.318,0.041,0,0.007,6.41,6.45,7.15,80,42.1
020114A,UNNAMED POND,7/24/1986,74.321275,44.23228056,4.12,0,34.91,0.034,83.8,5.41,8.4,0.025,0.018,1.8,5.4,0.86,20.1,0.39,0,76,,0.428,0.027,0,0.007,5.6,5.68,6.69,120,151.8
020115,BRANDY POND,7/19/1984,74.35905278,44.28478056,4.42,0,21.1,0.07,-2.3,3.03,19.2,0.03,0.03,5.7,3.81,0.66,13.86,0.3,0,183,,0.054,0.055,,,4.96,4.82,4.89,240,105.9
020116,FOLLENSBY CLEAR POND,7/19/1984,74.34544167,44.31061389,4.85,0,1.53,0.069,249.5,2.99,2.1,0.006,0.007,5.7,4.45,1.25,1.57,0.4,0.01,2,,0.009,0,,,7.18,7.59,7.4,5,42.7
020118,HORSESHOE POND,7/19/1984,74.36016389,44.31728056,4.59,0,0.31,0.056,46.2,0.57,3.3,0.007,0.008,0.3,1.78,0.41,0.56,0.37,0,2,,0.023,0.003,,,6.48,6.89,6.58,10,19.2
020119,LITTLE POLLIWOG POND,7/19/1984,74.36183056,44.32616944,5.68,0,0.37,0.077,58.1,0.78,4.7,0.021,0.018,1.2,2.45,0.42,0.67,0.4,0.03,27,,0.386,0.02,,,6.24,6.47,6.58,40,23.4
020120,POLLIWOG POND,7/19/1984,74.35571944,44.32644722,6.06,0,0.33,0.059,-0.9,0.17,3.2,0.007,0.006,0.3,1.77,0.31,0.47,0.25,0,24,,0.009,0.025,,,5.42,5.59,5.47,5,19.6
020122,WEST POLLIWOG POND,7/27/1984,74.36710833,44.336725,4.76,0,0.27,0.034,-52.8,0.42,8.8,0.014,0.015,0.2,0.58,0.13,0.07,0.33,0,29,,0.122,0.036,,,4.24,4.19,4.23,40,33.1
020123,FISH CREEK POND,7/24/1986,74.35738611,44.29978056,4.75,0,0.66,0.037,145.1,1.8,5.2,0.009,0.009,3.9,3.01,0.69,1.02,0.31,0,11,,0.179,0,0,0.002,6.76,7,7.17,35,30.8
020124,FISH CREEK POND,7/19/1984,74.35544167,44.30089167,5.23,0,0.55,0.068,139.4,1.63,4.5,0.012,0.018,4.4,3.46,0.72,0.89,0.33,0,11,,0.18,0,,,6.08,7.12,7.12,25,30.3
020125,SQUARE POND,7/19/1984,74.36460833,44.30283611,5.21,0,0.46,0.054,149.1,1.68,4.4,0.022,0.013,3.9,3.58,0.72,0.84,0.33,0,10,,0.302,0.003,,,6.78,7.23,7.08,25,29.1
020127,BOSQUET POND,7/20/1984,74.38905556,44.29978056,1.2,0,0.19,0.039,7,0.74,6.8,0.029,,0,0.6,0.14,0.18,0.22,0,23,,0.188,0.032,,,5.18,5.29,5.56,50,8.8
020127A,LITTLE EGG POND,8/11/1986,74.39766667,44.30089167,2.36,0,0.2,0.021,-15.1,0.73,11,0.03,0.027,0.3,1.03,0.27,0.08,0.24,0,11,,0.117,0.052,0,0.003,4.62,4.66,4.67,90,18
020128,DUMP POND,7/19/1984,74.38988889,44.29950278,1.76,0,0.21,0.046,43.4,1.33,9.8,0.02,0.019,0.4,1.25,0.33,0.33,0.19,0.01,45,,0.77,0.012,,,5.55,5.65,6.19,120,13.2
020129,UNNAMED POND,7/19/1984,74.39183333,44.29311389,2.32,0,0.29,0.067,142.2,4.94,16.4,0.026,0.025,8.5,3.48,0.74,0.7,0.15,,49,,2.05,0.033,,,5.89,5.96,6.9,320,26.3
020130,BLACK POND,7/19/1984,74.38322222,44.30533611,3.6,0,0.25,0.043,121.5,1.82,4.3,0.012,0.013,0.3,2.98,1.03,0.11,0.26,0.01,5,,0.022,0,,,6.9,7.31,7.29,15,26.3
020131,AMPHITHEATER POND,7/8/1985,74.36821944,44.30728056,3.73,0,0.23,0.024,-96,1.61,14.9,0.044,0.05,0.3,0.57,0.13,0.17,0.17,0,,115,0.315,0.021,0.004,0.014,4.03,4.13,4.08,140,
020132,S-W AMPHITHEATER POND,7/20/1984,74.36849722,44.30728056,2.05,0,0.24,0.051,16.6,1.75,10.9,0.021,0.023,1.5,0.98,0.12,0.11,0.22,0,50,,0.266,0.039,,,4.54,4.52,4.55,120,19.2
020133,UNNAMED POND,7/8/1985,74.37044167,44.30866944,2.82,0,0.11,0.028,-102.4,1.39,18.8,0.023,0.03,0,0.39,0.16,0.18,0.14,0.01,,113,0.31,0.002,0.002,0,4.01,4.08,4.04,160,
020138,EAST COPPERAS POND,7/19/1984,74.37183056,44.31200278,2.52,0,0.27,0.065,-28.9,1.11,8.8,0.034,0.044,0,0.65,0.11,0.08,0.56,0.02,45,,0.163,0.026,,,4.51,4.5,4.53,70,19
020139,COPPERAS POND,7/19/1984,74.37460833,44.31561389,4.08,0,0.35,0.082,366.6,4.24,2.3,0.014,0.011,10,5.25,1.57,1.24,0.43,0.01,5,,0.077,0,,,6.37,7.73,7.49,10,46.8
020140,LITTLE SQUARE POND,7/19/1984,74.37183056,44.31700278,5.35,0,0.38,0.056,117,1.43,4.5,0.01,0.01,3.5,3.3,0.65,0.74,0.32,0.01,14,,0.164,0.003,,,6.27,7.02,7.06,30,29.2
020141,NORTH WHEY POND,7/20/1984,74.38377778,44.31394722,2.59,0,0.18,0.046,-50.5,0.26,6.5,0.017,0.017,0,0.41,0.08,0.05,0.18,0,26,,0.11,0.032,,,4.35,4.35,4.36,45,23.2
020141A,LITTLE NORTH WHEY,7/20/1984,74.38294444,44.31616944,3.2,0,0.2,0.05,-41.3,0.43,4.3,0.015,0.014,0,0.45,0.1,0.07,0.18,0.02,31,,0.171,0.03,,,4.45,4.45,4.43,35,21.5
020143,MIDDLE POND,7/27/1984,74.37155278,44.33700278,7.18,0,0.51,0.046,86.5,1.3,6.1,0.014,0.012,1.6,3.36,0.61,0.84,0.33,0.02,36,,0.15,0.009,,,6.45,6.61,7.13,50,28.7
020144,UNNAMED POND,7/20/1984,74.39433333,44.33755833,3.56,0,0.33,0.05,48.7,2.25,7.8,0.021,0.021,0.7,1.69,0.45,0.61,0.44,0,31,,0.17,0.007,,,5.79,5.65,6.55,30,18.7
020145,MARSH POND,8/9/1985,74.39711111,44.34339167,2.78,0,0.18,0.022,-29,0.99,3.6,0.017,0.02,0,0.52,0.12,0.07,0.22,0,,28,0.125,0.036,0.001,0.016,4.91,4.49,4.53,25,17.2
020146,TRACK POND,8/9/1985,74.38571944,44.34450278,2.75,0,0.14,0.023,31.3,0.58,6.2,0.012,0.006,0.1,1.46,0.49,0.07,0.19,0.01,,19,0.13,0.029,0,0.003,5.62,6.23,6.41,40,13.6
020147,EAST PINE POND,7/20/1984,74.41183333,44.33978056,4.4,0,0.5,0.072,145.1,1.64,5.9,0.015,0.013,5.2,3.25,0.76,0.84,0.43,0.01,6,,0.314,0.051,,,6.02,6.95,7.19,50,28.6
020148,FEDERATION POND,7/20/1984,74.41072222,44.33616944,3.49,0,0.23,0.06,-42.1,0.22,3.6,0.011,0.01,0.2,0.48,0.11,0.06,0.27,0,19,,0.069,0.026,,,4.5,4.42,4.47,10,21.1
020149,LONG POND,7/20/1984,74.40044444,44.34728056,5.18,0,0.31,0.067,102.8,1.19,4.1,0.008,0.007,4.1,3.1,0.57,0.7,0.33,0.01,11,,0.123,0.001,,,6.33,6.91,7.05,25,26.2
020150,PINK POND,7/20/1984,74.41322222,44.35311389,4.03,0,0.28,0.075,181,3.2,6.9,0.015,0.014,9.6,4.11,0.9,0.88,0.29,0,21,,0.53,0.001,,,6.39,6.7,7.56,60,33.5
020151,NORTH PINK POND,7/20/1984,74.416,44.35561389,6.15,0,0.29,0.115,143.8,1.71,9,0.017,0.019,6.7,4.16,0.84,0.95,0.26,,46,,0.139,0.004,,,6.47,6.71,7.21,160,33.2
020152,UNNAMED POND,8/8/1986,74.42988889,44.34589167,2.29,,0.19,0.029,24,1.88,6.4,0.02,0.024,0.5,1,0.17,0.24,0.28,0.01,32,,0.113,0.027,0,0.005,5.55,5.53,6.17,40,11.6
020154,TURNOFF POND,7/20/1984,74.41905556,44.34450278,2.11,0,0.14,0.044,-10,0.4,6.4,0.048,0.047,0.2,0.78,0.09,0.19,0.05,0.01,46,,0.092,0.032,,,4.66,4.78,4.78,40,14.5
020155,LEDGE POND,7/20/1984,74.42266667,44.35839167,5.27,0,0.28,0.064,20.4,0.35,3.1,0.003,0.003,1.6,2.09,0.27,0.42,0.16,0.02,22,,0.01,0.006,,,5.86,6.12,6.23,10,18.7
020156,MOUNTAIN POND,8/9/1985,74.41377778,44.36978056,5.63,0,0.2,0.031,16.6,0.59,3.4,0.003,0.003,0,2.17,0.29,0.5,0.1,0,,34,0.03,0.01,0,0.003,6.11,6.04,6.23,10,19.1
020156A,DRY LAKE,7/20/1984,74.41294444,44.36255833,5.23,0,0.34,0.051,24.2,0.42,6.6,0.056,0.039,1.8,2.22,0.26,0.67,0.26,0.02,106,,0.108,0.025,,,5.84,5.79,5.92,45,22.1
020157,EMBODY POND,7/12/1985,74.41072222,44.36116944,4.74,0,0.22,0.028,8.7,0.4,5.9,0.021,,0,1.65,0.26,0.36,0.14,,,36,0.039,0.024,0,0.003,5.19,5.31,5.17,25,17.5
020158,LONG POND #3,7/20/1984,74.39266389,44.36894722,4.01,0,0.22,0.045,52.1,2.04,15.8,0.044,0.039,4.2,2.92,0.3,0.48,0.15,0.02,235,,1.017,0.021,,,5.32,5.5,6.16,160,23.3
020159,SLANG POND,7/20/1984,74.38321944,44.36561389,5.69,0,0.33,0.057,68.7,0.8,4.7,0.006,0.005,3.2,2.72,0.47,0.65,0.29,0.01,15,,0.067,0.002,,,6.3,6.75,6.89,25,24.5
020160,TURTLE POND,7/20/1984,74.37155278,44.36255833,5.77,0,0.34,0.058,60.1,0.79,4,0.005,0.006,1.3,2.63,0.44,0.6,0.29,0.01,15,,0.035,0,,,5.79,6.73,6.83,15,24
020161,HOEL POND,7/20/1984,74.35905278,44.35811389,5.71,0,0.35,0.057,42.1,0.6,3.5,0.003,0.004,0.4,2.46,0.38,0.55,0.25,0,6,,0.008,0,,,6.19,6.49,6.67,5,22.1
020162,SUMMIT POND,7/20/1984,74.35321944,44.36478056,5,0,0.26,0.064,41.2,1.22,16.2,0.023,0.023,4,2.95,0.42,0.39,0.13,0,260,,0.49,0.024,,,5.64,5.49,5.86,160,24.3
020163,CHURCH POND,7/24/1986,74.336275,44.34783611,5.68,0,0.72,0.038,12.6,0.14,3.6,0.007,0.005,0,1.54,0.31,0.7,0.39,0,14,,0.013,0.012,0,0.006,6.25,6.13,5.74,0,20.5
020164,LITTLE RAINBOW POND,7/19/1984,74.328775,44.359225,3.45,0,0.28,0.068,73.7,1.07,13.1,0.035,0.034,0.6,2.62,0.45,0.42,0.24,0,65,,0.605,0.029,,,6.11,6.26,6.6,100,20.5
020166,UNNAMED POND,8/8/1986,74.40822222,44.33033611,3.27,,0.26,0.042,-76.6,5.32,30.8,0.045,0.094,2.3,1.16,0.3,0.27,0.29,0,162,,0.626,0.092,0,0.018,4.3,4.15,4.18,250,38
020167,UNNAMED POND,8/8/1986,74.41127778,44.32644722,3.39,,0.12,0.033,130.1,3.62,9,0.046,0.045,1.9,2.15,0.68,0.59,0.09,0,29,,0.248,0.024,0,0.002,6.46,6.18,7.05,35,26.1
