ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,Richness,Volume.m3.,Littoral.Area..ha.,Elevation..m.,Watershed,Quad,LONG,LAT,SO4_mgL,NO3_mgL,ANC,DIC,DOC,P_total,SIO2_mgL,Ca_mgL,Na_mgL,Fe_mgL,LAB_pH
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35002,1.2,521,Champlain,Loon Lake ,-74.09209444,44.56810556,4.09,0,29.8,0.71,4.7,0.019,0.2,1.83,0.4,0.083,6.25
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,318290,15.1,504,Champlain,Loon Lake ,-74.08598333,44.53671667,4.86,0,310,4.29,7.3,0.011,6.5,5.09,0.92,0.329,7.09
1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70716,1.3,518,Champlain,Loon Lake ,-74.10098333,44.52338333,5.74,0,146,1.66,5.1,0.021,4.9,4.11,0.4,0.045,6.81
1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,93664,11.9,557,Champlain,Debar Mtn. ,-74.132375,44.52699444,4.66,0,153.6,2.28,8.6,0.027,0.5,3.39,0.64,0.057,6.76
1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,515799,2.5,522,Champlain,Debar Mtn.,-74.12459722,44.51199444,5.21,0,26.2,0.14,7,0.007,0.2,2.01,0.51,0.024,5.74
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10907,0.5,510,Champlain,Debar Mtn. ,-74.12848611,44.51032778,4.94,0,21,0.51,6.1,0.025,0,1.74,0.48,0.068,5.55
0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1214983,29,507,Champlain,Loon Lake ,-74.11431944,44.50588333,4.63,0,223.1,2.59,4.2,0.013,2.7,4.34,0.71,0.053,7.06
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1713891,5,509,Champlain,Bloomingdale ,-74.14126389,44.49116389,3.88,0,269.3,3.52,2.5,0.004,0.4,3.83,0.74,0.008,7.53
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,391157,3.6,515,Champlain,Bloomingdale ,-74.12070833,44.49560556,2.16,0,18,0.25,5.4,0.006,0,0.93,0.27,0.02,6.14
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6535932,70.2,508,Champlain,Bloomingdale ,-74.13431944,44.48866111,5.08,0,173.8,2.35,5.2,NA,2.2,4.26,0.92,0.116,6.66
0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2840976,7.7,510,Champlain,Bloomingdale ,-74.17071111,44.48060833,6.16,0,177.7,2.44,4.3,0.008,1.6,3.5,0.85,0.034,7.42
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5840244,92.2,446,Champlain,Wilmington ,-73.97403611,44.43615833,6.24,0.08,340.4,4.22,6.2,0.04,2.5,6.66,3.46,0.326,7.92
1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4922230,11.4,472,Champlain,Saranac Lake ,-74.06598611,44.36588333,8.04,0.15,104.2,1.09,4.7,0.013,4.9,3.38,0.92,0.043,6.52
1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15228,2.6,515,Champlain,Bloomingdale ,-74.02792778,44.37671389,4.23,0,333.3,5.06,10.5,0.022,10.3,5.59,1.46,0.485,6.61
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,239559,5.7,470,Champlain,Saranac Lake ,-74.12182222,44.32921667,4.4,0,151.6,2.03,3.1,0.013,1.5,4.53,7.57,0.056,7.24
1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,6684667,22.1,506,Champlain,Saranac Lake ,-74.07459722,44.32421667,8.21,0,86.6,0.97,2.9,0.013,2.5,3.39,0.79,0.003,6.58
1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,112306,9.7,478,Champlain,Saranac Lake ,-74.09265278,44.29338333,5.7,0,482.9,6.67,4.7,0.036,14,9.22,4.14,0.294,7.42
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,122995,9.9,482,Champlain,Saranac Lake ,-74.07181944,44.29699444,5.8,0,272.4,3.71,5.1,0.031,3.1,6.66,6.46,0.071,7.31
1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1465479,4,475,Champlain,Saranac Lake,-74.14737778,44.262275,6.52,0,73,0.81,3.1,0.082,0,2.5,0.8,0.007,6.67
1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18224,2.4,488,Champlain,Saranac Lake ,-74.15099167,44.259775,8.06,0,406.2,4.58,3.9,0.03,13,7.11,1.71,0.065,7.22
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,318532,32.8,468,Champlain,Saranac Lake ,-74.17126944,44.28338611,6.05,0,171.9,1.93,4.7,0.011,1.8,4.13,1.97,0.04,7.07
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,451623,26,468,Champlain,Saranac Lake ,-74.18349167,44.28866389,6.05,0,170.4,1.88,4.7,0.014,1.6,4.14,1.91,0.047,6.96
1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,78419,2.8,483,Champlain,Saranac Lake ,-74.194325,44.32310833,6.46,NA,255,5.97,11.7,0.022,9.8,4.93,1.48,0.186,6.35
1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1616528,8.6,480,Champlain,Upper Saranac Lake ,-74.36016389,44.31728056,4.59,0,46.2,0.57,3.3,0.007,0.3,1.78,0.56,0.023,6.89
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,53540,6.5,479,Champlain,Upper Saranac Lake ,-74.36183056,44.32616944,5.68,0,58.1,0.78,4.7,0.021,1.2,2.45,0.67,0.386,6.47
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1189016,12.4,479,Champlain,Upper Saranac Lake ,-74.35738611,44.29978056,4.75,0,145.1,1.8,5.2,0.009,3.9,3.01,1.02,0.179,7
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4456569,10.3,480,Champlain,Upper Saranac Lake ,-74.36460833,44.30283611,5.21,0,149.1,1.68,4.4,0.022,3.9,3.58,0.84,0.302,7.23
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1506074,24.3,480,Champlain,Upper Saranac Lake ,-74.37183056,44.31700278,5.35,0,117,1.43,4.5,0.01,3.5,3.3,0.74,0.164,7.02
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5230388,61.5,488,Champlain,Upper Saranac Lake ,-74.40044444,44.34728056,5.18,0,102.8,1.19,4.1,0.008,4.1,3.1,0.7,0.123,6.91
0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,106783,3.5,492,Champlain,Upper Saranac Lake ,-74.41322222,44.35311389,4.03,0,181,3.2,6.9,0.015,9.6,4.11,0.88,0.53,6.7
1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1011088,4.1,509,Champlain,Upper Saranac Lake ,-74.42266667,44.35839167,5.27,0,20.4,0.35,3.1,0.003,1.6,2.09,0.42,0.01,6.12
1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,743799,7.9,491,Champlain,Upper Saranac Lake ,-74.38321944,44.36561389,5.69,0,68.7,0.8,4.7,0.006,3.2,2.72,0.65,0.067,6.75
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,868309,16.6,493,Champlain,Upper Saranac Lake ,-74.37155278,44.36255833,5.77,0,60.1,0.79,4,0.005,1.3,2.63,0.6,0.035,6.73
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,13,14777670,45.3,493,Champlain,Upper Saranac Lake ,-74.35905278,44.35811389,5.71,0,42.1,0.6,3.5,0.003,0.4,2.46,0.55,0.008,6.49
1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31627,2.4,506,Champlain,Upper Saranac Lake ,-74.35321944,44.36478056,5,0,41.2,1.22,16.2,0.023,4,2.95,0.39,0.49,5.49
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,12483230,56.8,480,Champlain,Upper Saranac Lake ,-74.40961111,44.32366944,5.04,0,122,1.35,6.4,0.01,3.4,3.3,0.75,0.324,6.85
0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1083906,8.3,481,Champlain,Upper Saranac Lake ,-74.42461111,44.32866944,4.6,0,101.9,1.26,5,0.009,1,3.09,0.76,0.067,6.86
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,88154,2.8,482,Champlain,Upper Saranac Lake ,-74.42461111,44.31728056,3.67,0,39,2.91,18.9,0.019,4.8,2.71,0.59,1.043,5.22
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,169547,21.4,489,Champlain,Upper Saranac Lake ,-74.42766667,44.30005833,2.66,NA,235.5,2.93,13.1,0.052,6.5,3.8,0.93,1.967,6.91
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4900966,6.6,490,Champlain,Upper Saranac Lake ,-74.38766667,44.27616944,5.87,0,83.3,1.23,2.9,0.004,0.7,2.97,0.69,0.004,7.03
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19983,2,491,Champlain,Upper Saranac Lake ,-74.39516667,44.26505833,5.1,0,170.4,2.13,4.6,0.015,6.8,4.31,0.89,0.08,7.05
1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2387882,4.5,481,Champlain,Upper Saranac Lake ,-74.34321944,44.33811389,4.83,0,171.4,2,3,0.013,4.5,3.32,1.14,0.011,7.63
1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,433336,4.4,492,Champlain,Upper Saranac Lake ,-74.31127222,44.35283333,4.46,0,33.9,0.4,7.8,0.027,0.1,1.86,0.54,0.113,6.28
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,15350690,20.9,487,Champlain,Upper Saranac Lake ,-74.28543889,44.35533333,5.24,0,263.3,3.58,2.6,0.026,8,4.38,1.08,0.029,7.78
1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,179099,16.7,381,Champlain,Peasleeville ,-73.73236389,44.51115833,5.63,0,212.1,3.16,8.7,0.021,4.1,4.12,1.05,0.063,7.06
1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,318440,6.3,329,Champlain,Peasleeville ,-73.72708611,44.5481,6.02,0,356.2,4.75,6.7,0.02,1.9,5.33,0.97,0.132,7.19
1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21761,2.6,499,Champlain,Wilmington ,-73.89736667,44.44338056,5.25,0,565.2,6.74,10.9,0.084,5.2,8.3,1.25,0.336,7.62
1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20835,4.8,446,Champlain,Redford ,-73.83708889,44.505325,6.27,0.02,302.9,6.06,12.1,0.056,5.4,5.08,1.52,0.46,6.54
1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,284002,4.2,515,Champlain,Lake Placid ,-73.90292222,44.32310278,7.87,0.15,108.5,1.34,4.8,0.008,6.8,4.46,0.74,0.135,6.91
1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,877814,1.8,546,Champlain,Lake Placid ,-73.89792222,44.32921389,6.23,0,143.3,1.67,3.2,0.006,0.5,3.53,0.54,0.005,7.33
1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10468,1.2,535,Champlain,Lake Placid ,-73.89375556,44.32615833,8.96,0.05,147.1,2.58,8.1,0.021,4,4.12,0.79,0.094,6.59
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43282,2.6,570,Champlain,Lake Placid ,-73.88903333,44.33171389,8.05,0,118,4.04,8.8,0.022,4.7,5.22,0.71,0.23,6.16
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36662,4,558,Champlain,Lake Placid ,-73.88153333,44.32921389,7.26,0,74.4,1.16,7,0.008,4.5,3.64,0.7,0.397,6.4
1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12855,2.4,503,Champlain,Lake Placid ,-73.93820278,44.30143611,6.46,0,236.8,5.67,12.2,0.038,3.4,8.98,21.5,0.46,6.29
1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,77653,2.9,521,Champlain,Lake Placid ,-73.94209167,44.307825,6.87,0,185.1,2.02,5.8,0.013,4.8,4.06,1.2,0.048,7.34
0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1736936,11.7,506,Champlain,Lake Placid ,-73.93459167,44.30643611,8.24,0,196,1.51,4.6,0.007,3.6,4.79,0.7,0.015,7.38
1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,134798,4.9,518,Champlain,Lake Placid ,-73.92875833,44.31643611,7.67,0,110,1.27,7.4,0.01,4.7,4.32,0.66,0.029,6.84
1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18521,1.6,520,Champlain,Lake Placid ,-73.92875833,44.31726944,6.33,0,154.3,3,8.9,0.032,3.2,4.71,0.68,0.145,6.56
1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,43323,1.5,543,Champlain,Lake Placid ,-73.92598056,44.325325,8.78,0,139.1,2.25,6.4,0.01,3.8,5.17,0.7,0.051,6.67
1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44513,7.7,514,Champlain,Lake Placid ,-73.92459167,44.28976944,7.49,0,216.5,3.17,5.6,0.012,5.2,5.35,0.79,0.201,6.73
0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,91394,8.7,528,Champlain,Lake Placid ,-73.98320556,44.27699167,7.01,0.14,222.8,2.98,4.8,0.016,5.8,4.87,1.86,0.166,7.1
